[0:00:40] ブタ麺うますぎ: たぬきおじゃ tanukiGoja
[0:00:58] シャオレイ: おじゃ～
[6:51:40] jorrysz: マジでヴォイドに命賭けないでほしい
[6:51:58] MZM_Omochi: ヴォイドグラブ２個だけとってドラゴン狙うとか有り？
[6:52:11] darksworks: 1個だけだな
[6:52:48] darksworks: 1個分の経験値だけとってBOT寄ったほうが強い
[6:52:59] evianomizu: ヴォイドは訳わからない事故起きて大変になることが多いから好きじゃない
[6:53:43] xxtidorixx: なんならjgもファームしてたい
[6:53:44] lucky_punch1111: topサイドのオブジェクト最近めちゃくちゃ事故率高い
[6:53:53] darksworks: みんなまだヴォイドが強いと信じてる
[6:54:00] jorrysz: 何のためにメイジ選んだのかって感じか
[6:54:29] しらたまご_55: 渋谷ハルがいたｗ
[6:54:30] MZM_Omochi: 渋ハルおるやん
[6:55:00] lucky_punch1111: おにんにんの背後のピースたぬき割とすこ
[6:57:00] lucky_punch1111: MFのカウンターにブラウム取りたくなる気持ちめちゃわかる
[6:57:13] ddd48s: ブラウムQとジンのWは相性そうだけどね
[6:57:19] twindere: まだおるやんしぶはるさんｗ
[6:57:44] darksworks: フルパノマですか。ようやりますねぇ
[6:58:15] Vladymoon: 構成いいな
[6:59:44] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[7:00:27] cloud9funboy: やばすぎｗ
[7:00:33] evianomizu: ボットスタートw
[7:00:35] Vladymoon: www
[7:04:46] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[7:05:00] sharryphase: 金稼ぎ綺麗でござ
[7:05:15] darksworks: F軽すぎだろ
[7:06:18] 神回保存庫: この構成で序盤崩壊
[7:06:34] sharryphase: BibleThump
[7:06:44] cloud9funboy: ggでござ BibleThump
[7:06:44] lucky_punch1111: ござござり…
[7:07:01] darksworks: グレイブスが育ってるのもだいぶ具合悪い
[7:07:51] ゆっちゃん123: 交通事故
[7:08:04] 神回保存庫: サイオンがマーキュリー履いてるのが分からん
[7:08:05] twindere: サイオンのRってもっと大きい音ならなかったっけ？
[7:09:24] papiko056: あんな雑なガンクとおるの笑っちゃうぜ
[7:09:39] ぱと_らっしゅ: 希望をつないだ
[7:09:46] darksworks: 延命
[7:12:24] maguroud: ワンちゃん生まれたか
[7:12:29] kurobane31: 盛り返してて草
[7:12:32] ぱと_らっしゅ: やっぱADもお上手ねにんにん
[7:14:52] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[7:15:27] lucky_punch1111: なんか雰囲気良くなってきたな
[7:15:27] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[7:15:53] ゆっちゃん123: ｗｗｗｗｗ
[7:15:53] papiko056: このチャンプマナたりねー
[7:16:31] si794: マジでマナたりねーんだよな
[7:16:36] si794: Q大事
[7:16:45] darksworks: E使ったらマナなくなんねんこのチャンプ
[7:16:50] si794: 昔涙ビルドあったからな
[7:16:52] xxtidorixx: 涙欲しくなる勢いでマナが消えていく
[7:16:57] si794: 今も通用すんじゃね
[7:17:13] ゼロ波: 小ささで解決するのずるだろ今のｗ
[7:17:26] si794: 250円のゴミ買ってる・・・
[7:17:27] papiko056: ニーコR、フラッシュ使っても逃げれない距離なのマジでキツイ
[7:17:41] si794: ｗ
[7:17:45] lucky_punch1111: GG
[7:17:50] xxtidorixx: なんか次いでという感じで消える鳥
[7:17:54] si794: こわれちったｗ
[7:17:58] jorrysz: ！？
[7:18:00] レイムゥ: ケツから出てきた
[7:18:01] lucky_punch1111: ブラウム寝返ってるwww
[7:18:04] kurobane31: つよすんぎ
[7:18:13] darksworks: あの序盤の負け方からこうなったら精神的にだいぶイカれるな
[7:18:21] darksworks: 勝ち方だったわ
[7:18:25] MZM_Omochi: 尻から氷塊がでる
[7:18:25] madlemongrass: 意地でも助けないブラウム
[7:18:26] maguroud: MFってチャンプやっぱりパワー狂ってないでござるか？
[7:18:52] si794: 円型のAOECCと相性がいい
[7:18:58] si794: アムムとニーコ
[7:19:25] darksworks: 初心者でも上位レートでもすぐB
[7:19:39] si794: すぐBおしたわぁ・・・だまれおまえぇ・・・
[7:20:49] maguroud: ブラウム完全に壊れてるね
[7:21:27] lucky_punch1111: また1人LOLで人間が壊れたんだね
[7:21:32] jorrysz: わあ
[7:21:38] jorrysz: GG
[7:21:44] kurobane31: ニーコさんさすがです
[7:21:49] desugako: これ勝てたのでけー
[7:21:50] maguroud: この試合勝つのほんと最高やな！！
[7:21:53] ka9ula_: 勝てるんだ
[7:21:55] si794: このゲームマジで一人の心折ったほうがはえー
[7:22:07] papiko056: まあCC濃いし無限に夢はある構成だった
[7:22:16] si794: ぶっちゃけブラウムがおこるのはわかる
[7:22:17] darksworks: ジンブラウムの相性って本当に悪いだなって思った
[7:22:19] maguroud: パンテとエリスで序盤終わりの終わりだったのに
[7:22:44] papiko056: 集団戦が弱いだけなんだよな
[7:23:44] darksworks: 俺が4人いたら勝てた心理が出る
[7:24:52] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[7:26:22] りーり: !体重
[7:26:22] Nightbot: https://bit.ly/3rS7toC
[7:26:39] りーり: え
[7:26:45] りーり: なんてこめんとしてる
[7:27:20] ゼロ波: たぬきのDBDまた見てえよ
[7:28:05] NemoUQ: TFTなのかサモリフなのか
[7:28:56] りーり: lol爆速でうまくなるほうほうありますか！！
[7:29:00] りーり: マルザきた
[7:29:27] azuma9280: マルザハールのフラッシュRだー
[7:29:41] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[7:30:03] くろみうむ3776: キャリーが少ない時のマルザRは犯罪でござ
[7:30:58] ドウク: !opgg
[7:30:58] Nightbot: https://www.op.gg/summoners/jp/Ninja%20of%20Ninjas
[7:35:57] tma_tama: あのサポート野郎マルザ様を無視していきやがった
[7:36:00] maguroud: まるで何も見てないかの如くマルザを素通りしたなあいつ
[7:38:06] しろくますし: すごい強気なライズだぁ
[7:38:20] penpenguin10: ロスチャプ出来たら一気に快適になるね
[7:38:25] tma_tama: botしゃぶられまくり
[7:39:31] penpenguin10: あいつミスったな
[7:39:48] tma_tama: これはやったわ
[7:40:19] しろくますし: ツイッチなんてぴっくするのそういうやつしかいない
[7:41:31] tma_tama: レーン負けてて申し訳なくてなんかしなきゃって心理が罠だってlolの教科書に書いてる
[7:41:47] penpenguin10: マリグナンスマルザ強い？
[7:42:32] tma_tama: なんであれで間に合わんのだ
[7:42:46] xxtidorixx: どうしてこうなった
[7:42:47] しろくますし: 終わりの終わり
[7:42:48] ブタ麺うますぎ: なんな傷口えぐられてないか？
[7:42:57] twindere: リリアがシャットダウンとってナイスと思ったら傷口は広がっていく
[7:44:41] tma_tama: 見てないけどモルガナが下手にQ当てるもんだからツッコんで死んでるパターンかもしれん
[7:44:52] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[7:45:06] omochi417: 警戒心が無い優しい子に育ったんだね
[7:45:40] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[7:45:41] penpenguin10: R単品だと火力足りんね
[7:45:44] twindere: うまくいかないねぇ
[7:45:53] tma_tama: ウルトがことごとくキルに絡まない・・・
[7:46:15] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[7:46:32] tma_tama: 見かねて応援団長になっちゃった
[7:47:27] maguroud: この試合激しいなぁ
[7:47:56] tma_tama: ドラ取りてぇなぁ
[7:48:07] kononno: クリセプの後なに行きます？
[7:49:36] tma_tama: 流石にそこのリコールは甘えすぎだった
[7:49:44] しろくますし: レンガーしんだがｗ
[7:50:11] quito314: takaya2Thegame っす
[7:52:50] tma_tama: 優しいやつから死んでいく
[7:52:53] pctw: リーシンが強すぎるかも
[7:53:43] tma_tama: 集団戦してくれねぇ
[7:54:15] pctw: 日本サーバーなのに言語が何にもわからんｗ
[7:54:53] tma_tama: あいつら日本鯖でも自国民いる前提で母国語使うじゃん
[7:56:15] くろみうむ3776: 日本鯖から外国鯖に行くのはレベル高いし修行になりそうだけど反対って何かメリットあるのかな
[7:56:44] ブタ麺うますぎ: スマーフできるとか自鯖banされたとか色々
[7:56:46] 4700329201: 気持ちよくなるとか？
[7:56:59] twindere: エズとリーがこえーなマジで
[7:58:09] twindere: いまのやれないんかー
[7:58:24] gachagachacha: わあ
[7:58:36] yosemaru3309: ペンタキルだあ〜
[7:58:36] ブタ麺うますぎ: わーペンタ
[7:58:48] 星の花束: トゥイッチって今王剣詰まない？
[7:59:31] レイムゥ: めっちゃ死んでる
[7:59:46] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[7:59:59] xxtidorixx: 今１発目でスローはいんなかったっけ？
[8:00:03] りーり: つぎなにやりますか
[8:00:37] くろみうむ3776: 前は3発でマルファイトQだったけどただのスロウにはなった
[8:04:44] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[8:05:50] デトロイド: 踏まれたら見えますね
[8:10:21] welldoneman1: 新感覚シューティングゲーム
[8:11:21] tma_tama: 指導やろなぁ
[8:12:42] 絆レバー: BibleThump
[8:12:48] twindere: マナがなくて咲かせられない
[8:12:50] xxtidorixx: 花が無い悲しいR
[8:14:54] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[8:14:57] twindere: わろた
[8:15:10] kurosan001: ん？
[8:15:11] ブタ麺うますぎ: うるせえヴァルスだ
[8:15:30] welldoneman1: 今の自虐じゃないの？ｗ
[8:15:34] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[8:15:39] frozune: w
[8:16:15] ブタ麺うますぎ: 自虐ならたぬきの立ち位置にピンしなくね
[8:16:29] welldoneman1: 外した位置だと思った
[8:17:21] quito314: スキル外すたびにADCにピン炊かれると緊張して当たるもんも当たらなくなる
[8:17:34] welldoneman1: タロンも返り討ちにあってるのやばい
[8:17:44] frozune: クリア早すぎる
[8:18:24] welldoneman1: ほんとだなんかやってるな
[8:18:26] tma_tama: ふ～ん
[8:18:54] twindere: 普通にウェーブ消しあってるしかねえと思うけどな
[8:19:25] tma_tama: こっからAPヴァルスいってくれねーかな
[8:19:27] ブタ麺うますぎ: 一人で生きてもらおう
[8:20:46] welldoneman1: ニーコがやばすぎて終わってる
[8:20:52] きびーさん: どのレート帯でもこういうのいるんだな
[8:22:57] ddd48s: ｗ
[8:23:02] ブタ麺うますぎ: 目の前に飛んでった
[8:23:12] welldoneman1: なんでとんだのかわからんかったｗ
[8:23:17] quito314: もしかしなくても
[8:23:32] デトロイド: セナのQかも
[8:24:32] bbt92067: あの位置で捕まるのだと何もできん
[8:24:44] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[8:25:31] きびーさん: ケネンのビルドもなんか変じゃない？
[8:26:05] bbt92067: 対面強くありつつ、集団戦も勝ちたい
[8:26:35] tma_tama: タロン終始カウンターされてんなぁ
[8:27:32] quito314: ニーコRで無理矢理ダイブしたら終わりそうな気がするんだけど
[8:29:40] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[8:31:45] bbt92067: タロンなにもできないでござる
[8:32:38] quito314: 集団戦が強すぎる
[8:32:59] welldoneman1: ∞サステイン
[8:36:12] tma_tama: そういえば最近スレッシュ見ない
[8:36:39] quito314: レーン負けた時があまりに悲しい
[8:39:36] UtetuU: UtetuU subscribed with Prime. They've subscribed for 39 months! おじゃ、勝ててますか
[8:40:27] tma_tama: やっぱ覇権ゲームなんだよね
[8:40:33] kaigai_nikii: だってもうグラマスですから
[8:40:37] しろくますし: シレンおもしろいからな
[8:43:09] welldoneman1: もういいでござるよ・・
[8:43:12] xxtidorixx: 虚無のマオカイ
[8:43:15] ユニこん: おじゃ、今熱いmidレーナーを見に来ました
[8:43:48] tma_tama: ｃｃ爆盛りタンクサポが楽しいんじゃ
[8:44:48] quito314: 夫婦Duoだ
[8:44:49] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[8:44:56] ゼロ波: 今もっとも強い木材ことマオカイ
[8:44:59] xxtidorixx: なぜかシナジーがない夫婦
[8:45:22] ゼロ波: ザヤラカンにあるんだからもうプチリワークしてつけてほしい
[8:45:32] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[8:45:39] darksworks: ナミに寝取られたと思ったら今度はミリオに寝取られたセナさん
[8:45:41] quito314: ルシアンのパッシブがセナのスキルで発動するから...
[8:45:41] xxtidorixx: ザヤラカンは失敗だったって言ってたと思うけどあまりにもなさすぎる
[8:46:05] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[8:46:15] quito314: これは気合入る
[8:47:18] xxtidorixx: セナとかいうjgを舐めたピック許せねえよなあ
[8:47:19] gatt0123: チャットはせず念じるだけ
[8:47:31] tma_tama: なんだこれはぁ
[8:47:37] xxtidorixx: ん？
[8:47:49] 14tuu: これは
[8:47:52] quito314: 一旦おわったか
[8:47:55] ユニこん: マズい
[8:48:01] tma_tama: botないなった
[8:49:02] xxtidorixx: リーさんお願いしますって思ったらなんかTOPおった
[8:49:02] tma_tama: 見限られたかもしれん
[8:49:12] welldoneman1: ティーモに賭けていいのか？
[8:49:20] tma_tama: し、死んでる・・・
[8:49:23] kitsune_of_shrine: おしい
[8:49:27] xxtidorixx: 負の連鎖起こってるらしい
[8:51:27] correctheart: きっついか
[8:51:34] welldoneman1: 三叉路で気づかれてそうな挙動最初にしてたのにずっといた
[8:56:15] quito314: カーサスルーデンなんだ
[8:56:20] welldoneman1: グローバル３じゃん
[8:56:46] tma_tama: シャットダウン改修いいぞ～
[8:59:04] tma_tama: これでも前2戦よりは希望があるというね
[8:59:42] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[9:02:36] kurobane31: いいね
[9:03:09] tma_tama: 開始3分の絶望感からここまで盛り返した
[9:04:44] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[9:05:17] kitsune_of_shrine: マオカイから毒出てるように見えてうける
[9:05:48] tma_tama: ブリンク過信してる
[9:07:20] welldoneman1: セナなんて飛びついたら終わりでござでござる tanukiWazamae
[9:07:20] レイムゥ: あしはえ～
[9:08:10] ぱと_らっしゅ: ｗ
[9:08:21] ng_joe: 苗木とキノコとトラップのあるサモリフ
[9:08:36] 炊き尽くす者: 忍者が思うlolのたのしさってこれ？
[9:09:41] welldoneman1: グローバルウルト３とかいう卑怯な構成を成敗するでござ tanukiWakaru
[9:09:44] yummy2344: なんでマオカイsup評価上がったの？
[9:10:12] 星の花束: ｗｗｗ
[9:10:20] kaniwata: ｗ
[9:10:20] NemoUQ: 怒涛の謝罪
[9:10:25] レイムゥ: もうほんとにやったと思ったんだろうな
[9:10:33] かにぽんず: あるよな あ、これやったわって瞬間
[9:14:19] kitsune_of_shrine: それはうますぎ
[9:14:30] arase_7: ナイスフラッシュイン
[9:14:49] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[9:15:30] かにぽんず: 安全に視界取れて確実にエンゲージ・ディスエンゲージできてダメージも出るらしい
[9:15:32] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[9:15:40] れんが: いてて
[9:16:41] かにぽんず: オーシャン強すぎ
[9:17:55] ng_joe: きえた
[9:18:08] かにぽんず: お互い蒸発した
[9:18:14] れんが: ひえ～
[9:19:13] shot_taka: お前can winと同じ類
[9:19:18] ばけねこさん: 誰かpeel me 諦めるのはeasy
[9:19:43] かにぽんず: お前can winはマジ名言だった lolの情緒のすべてが詰まってる
[9:19:58] こめたこ: 罠に苗木にキノコもある森入りたくねえ
[9:20:14] NemoUQ: お前can winってよし君だっけ？
[9:20:17] welldoneman1: この形無敵だな絶対取れる
[9:20:25] shot_taka: https://www.twitch.tv/yoshiakilol/clip/CogentSassyChoughRaccAttack-NuVZOZ9eKvA_x_e0
[9:20:28] レイムゥ: ルシアンがイカれた
[9:20:31] かにぽんず: 壊れちゃった
[9:20:37] kaniwata: ｗｗｗ
[9:21:49] 絆レバー: LUL
[9:22:04] cibo11: cibo11 subscribed with Prime. They've subscribed for 45 months, currently on a 2 month streak! tanukiSyuriken2
[9:23:19] かにぽんず: マオカイベースダメージいかれてる
[9:24:46] ng_joe: 枯れ木忍者
[9:24:47] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[9:24:48] NemoUQ: 統計lolの申し子
[9:25:11] かにぽんず: ソロQにもあってる Rポチってすればチームの心ひとつになるから
[9:25:17] shot_taka: 令和になってQのベース320になって第一回の壊れ サンファイアイージスをもらって第二回の壊れ Qに割合ついてRバフされてJG適正もらって第三回の壊れ なぜか第四回の壊れ
[9:26:12] shot_taka: スキルは体の中心から出てAAは体の端っこから出るからね
[9:27:06] eminem564: ゴーストどう？
[9:27:49] 炊き尽くす者: 待ち時間ほんとにしゃべることなくなったら得意な歌うたってくれない？
[9:28:01] かにぽんず: DPS出すタイプのファイターとかね
[9:28:06] darksworks: マオカイってスキル全部っパしたら仕事終わりだからな
[9:28:25] quito314: ずっと疑問だったんだけどブランドjgがゴーストなのはなんでなんですか？
[9:28:54] eminem564: あんなる
[9:28:59] welldoneman1: 身体でスキルを当てている
[9:29:43] xxtidorixx: ガンクで体をこすりつけたQは当たるそういうことなんだよね
[9:29:44] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[9:30:42] Salad_Cola: k4senさんのマオカイ説明聞いたら最強チャンプにしか見えなくなった
[9:30:49] darksworks: ニ、ニーラ！？
[9:30:52] si794: jg gap rap 今度でねぇかなぁ
[9:30:59] quito314: 相手ヤスオボットか
[9:31:11] quito314: ヤスオの壁は意味ないし
[9:31:19] xxtidorixx: 体こすりつけあうならニーラ長強そう
[9:31:31] si794: でも
[9:31:39] かにぽんず: 射程みじけえなこのサモナーズリフト
[9:31:39] si794: マオカイに捕まった時点で死だろ
[9:31:42] quito314: あくげき！？
[9:32:07] si794: みたことねぇヴぇっくす
[9:32:10] welldoneman1: 一回耐えればまあね
[9:32:18] si794: ボーンアーマーもってそう
[9:32:19] xxtidorixx: ロアビルドいくんかな
[9:32:44] xxtidorixx: フィズに対するボーンアーマーは大変強い
[9:32:47] quito314: 相手全員ブリンクもちか
[9:33:00] かにぽんず: ラプタースタートじゃないんだ
[9:33:17] quito314: わかる
[9:33:48] xxtidorixx: ファームjgの時めんどくさいからウルフか鳥からスタートばっかするわ
[9:34:07] かにぽんず: 最近のファームジャングラー８割くらいラプタースタートだと思ってた
[9:35:00] darksworks: 警戒できず
[9:35:17] welldoneman1: ラカンがヘルスないままスタートしたからかな
[9:35:26] xxtidorixx: 高校生のであったようなダイブかまされたんかな
[9:37:14] yuzupepper3: リリアのクリアスピード早くて気持ちいいな
[9:38:04] ironia_: おいf
[9:38:07] ironia_: おいc
[9:38:30] xxtidorixx: リーシュのおかげでサクッと狩れた
[9:38:33] kononno: おいd
[9:39:27] ironia_: いっぱいきた
[9:39:54] welldoneman1: 握撃効いて逃げてそう
[9:41:20] かにぽんず: ナイス
[9:41:27] xxtidorixx: ヴェックスないすー
[9:42:19] xxtidorixx: やはりアサシンにはタンク
[9:42:46] quito314: 靴とどいた～
[9:44:10] welldoneman1: ヴェックスつええええ
[9:44:53] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[9:45:45] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[9:45:45] タコの刺身39800円: 味方のヤスオ
[9:45:46] xxtidorixx: 奴はYASUO
[9:45:51] かにぽんず: 敵の味方のヤスオ
[9:46:17] xxtidorixx: 誰かいるかと思ったらそうでもなかった
[9:46:21] kitsune_of_shrine: ヤスオってもしかしたら使うと知能が下がるデバフ付く？
[9:46:23] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[9:47:02] かにぽんず: というか相手リリアめちゃくちゃきついな
[9:47:09] kitsune_of_shrine: ヴェックスつよ
[9:47:09] darksworks: 握撃効き過ぎ
[9:47:11] xxtidorixx: タンクヴェックスつえーｗ
[9:47:37] welldoneman1: tanukiWazamae tanukiBanzai3
[9:47:44] xxtidorixx: ヴェルコズとラックスは生息してるとか見たけどヴェックスも相手次第でよさそう
[9:47:57] lonelyrolling_star: 3つ目何積むんだ
[9:48:00] kitsune_of_shrine: Q振ってると勝手に相手が死ぬ
[9:48:23] kitsune_of_shrine: 3手目は時計が安定です
[9:49:44] れんが: このバグ早く直んないかなぁ
[9:50:21] おおかみさん: uooo
[9:50:24] おおかみさん: 3人でできるんだｗ
[9:50:25] darksworks: 3マンスリープかと思ったら2マンだった
[9:50:45] kitsune_of_shrine: このチャンプマジでメジャイ減らない
[9:50:50] shot_taka: おれUに支援ピン入れてるせいでマジでとんだ迷惑だ
[9:51:08] quito314: 仮面何枚も積む奴やってください
[9:51:37] xxtidorixx: ｘで見たタンクメイジは割と持つけど時計でよくねｗ
[9:51:39] kitsune_of_shrine: エンゲージして必ず行きて帰ってくるという覚悟
[9:51:41] apororon: このヴェックスしんもりさんか
[9:52:27] れんが: バロンの時間迫ってくると地面の中バロンが動いてる演出好き
[9:53:16] apororon: ボウリングと一緒やん
[9:53:23] darksworks: ボウリングなんだね
[9:53:35] kitsune_of_shrine: ドラゴンの睨み合いとかでうっかり３人とかに当てちゃうとそれで勝てるのすき
[9:54:18] レイムゥ: 最強だ
[9:54:19] れんが: tanukiGG tanukiGG
[9:54:25] quito314: ミッド代わってよかった～
[9:54:50] manaburn30: 金！暴力！VEX！
[9:55:32] xxtidorixx: ヴェックスダメージどれぐらいでてるの？
[9:56:15] quito314: 戦績見てみたけどアサシンだけじゃなくニーコとか相手にもタンクヴェックス出してる...
[9:56:58] nosuke22: ブランドjgやってみたいんだけどフラッシュとゴーストどっちがおすすめ？
[9:57:07] darksworks: !opgg
[9:57:07] Nightbot: https://www.op.gg/summoners/jp/Ninja%20of%20Ninjas
[9:57:32] nosuke22: ゴーストで駆けてきます
[9:57:35] welldoneman1: 一生戦ってそう
[9:57:59] apororon: 面白そう
[9:58:39] xxtidorixx: botヴェックスのが気になるって思ったけどapいなかったからか
[9:59:42] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[10:00:20] desugako: 忍者くらいの練度で全レーン出来る人はそんなおらんとは思う
[10:00:47] 大福戦車: 神田明神のころ泣きながらやってたのが懐かしい
[10:00:54] welldoneman1: サブの得意チャンプ消されるとかカウンター出されたら終わるからなぁ
[10:01:10] おうし: ファームjg環境が向いてる？
[10:02:02] ラハール: 新しいチャンプどれくらいの回数やったら納得できるレベルになるますか？
[10:02:35] ラハール: アジールやってるんだけどわからなすぎる
[10:02:54] xxtidorixx: T君が簡単というアジールいや嘘だろっていう
[10:03:40] manaburn30: プロ専用チャンプか
[10:03:42] darksworks: 敵のアジールは強いのに自分のアジール弱い現象
[10:04:15] xxtidorixx: 自分のインセクは自分だけ死ぬ
[10:04:20] yuzupepper3: あの鳥個体値あるのかも
[10:04:44] manaburn30: 努力値あげなくちゃ
[10:04:46] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[10:05:20] quito314: さんかしてあげて
[10:05:25] タコの刺身39800円: いまジャックショーOPな感じするけどそんなことない？
[10:05:42] 大福戦車: ノーマルならええやろ
[10:05:42] レイムゥ: さすがに初心者のところにはいけん
[10:05:43] darksworks: 1時半に@3は流行ってるなって思う
[10:06:12] ラハール: 敵が強くなりすぎて初心者が楽しみづらいという難しさ
[10:06:21] manaburn30: LOLの人口ここにきて増えてるのかな
[10:06:29] SugarFreeVG: 便利って言葉に合う防具
[10:06:35] indoorha: 自分もOPだと思う
[10:06:48] darksworks: 書いてることの内容は素晴らしいが気軽には積めない
[10:06:56] madlemongrass: 1つで2つ分の装備パワーない？
[10:06:59] daicon283: そもそもスタッツ良くない？
[10:07:30] xxtidorixx: 値段はけっこうするからopとまでは思ないんだけど強いよね
[10:07:54] darksworks: 値段に見合った性能はしてる
[10:08:05] daicon283: タンクのラバドン枠みたいなイメージ
[10:08:32] かにぽんず: 時計消えたしな
[10:08:59] xxtidorixx: 未だに消えたり増えたアイテムちゃんと把握できてない
[10:09:02] かにぽんず: でもジャックショーってARMR高いやつより、柔らかいやつが積んだときのほうがいきなり固くなるよね
[10:09:02] タコの刺身39800円: ファイターとかでも3つ目ぐらいに
[10:09:10] karin173299: とっても便利なアイテムよね
[10:09:25] ぱと_らっしゅ: ヴァルスとかmfが積んでるのも見た記憶
[10:10:03] apororon: タンクが積んでも効率悪いのがな
[10:11:05] quito314: ボーナスARMRらしいです
[10:11:16] player20240111: 初心者です。持ってるチャンピオンのかけらがヤスオカタリナアカリなんですが、解放させるならどれがおすすめですか？
[10:11:31] tinkarahoi: ポケモンかな
[10:11:36] レイムゥ: うーんｗ
[10:11:37] だんじ: やすお
[10:11:42] xxtidorixx: とがった御三家
[10:11:49] darksworks: やりたいって思ったやつだけ解放それ以外は溶かす
[10:12:20] player20240111: 見た目は全部結構好きで、どれが一番使えるようになると強いですか？
[10:12:22] madlemongrass: 好きな奴、一番操作しやすいのはアカリ？
[10:12:36] xxtidorixx: アカリはライオットのお気に入りだから一生つえーしアカリでいいんじゃね
[10:12:44] hiiro111: アカリが1番コンボが分かりやすい
[10:12:53] madlemongrass: 煙幕で逃げやすいから
[10:12:54] おうし: 時期もいい
[10:12:54] player20240111: 分かりました。ありがとうございます！
[10:12:56] Zeraniumu: xboxgamepass買え定期
