[0:00:26] ryokucha112233: やあ
[1:23:21] Linxuxlll: ウラジ呼びはこのご時世やばいか
[1:23:31] ボン太郎: 新キャラだからなｗ
[1:23:32] 五年一組田中君: !member
[1:23:32] Nightbot: 息根とめる
[1:23:46] akykan: とめるlolうまいんだっけか
[1:23:53] me3156: ないすー
[1:24:05] 辛味噌ネギ牛丼: 道迷ったおばあちゃん
[1:24:07] ixtxirzuctxitxurxlt: とめるはLOL古参やね
[1:24:15] 緋蜂: とめるうまいなー
[1:24:22] osyoyuyasan: シーズン２か３くらいからやってるかんじか？
[1:24:28] kyo_llll: 朕凸の人か
[1:24:36] anti0124: うるーかと同等がそれ以上
[1:24:48] ポニーテールしたメダカ: ランクだけならそれ以上
[1:24:52] Kamu001002: まじ？強くね
[1:25:03] おがクズ: エメラルドだから強いね
[1:25:06] akykan: 想像より強くて草
[1:25:15] act12326: たかやくらいなのか
[1:25:17] おがクズ: ふふ
[1:25:17] kamibou2: LoLのイメージなかった
[1:25:19] 緋蜂: ないすないす
[1:25:21] piyo_gg: !member
[1:25:21] as4kura3: イキイキしてんなぁｗ
[1:25:21] Nightbot: 息根とめる
[1:25:21] Jamesthemesser: おい裏lolか！
[1:25:24] けろる: ちゃんとLOLプレイヤー
[1:25:26] t2ba8a: 糞猫がよ
[1:25:26] びりびり0810: うーんこの罵倒はLoL民
[1:25:26] osyoyuyasan: もしかしてとめるさんはエメラルドっていうランクしらないかも
[1:25:28] らあすと: いい暴言
[1:25:31] 凍結中代理: いつの時代でも猫は悪
[1:25:32] ky901att: たかやはダイヤのはずでは
[1:25:36] ケツアゴ: 前世でくっそ炊いてるの見たことある
[1:25:52] act12326: カメムシってバカにされてるランクですね
[1:25:53] ぽんです: とめる配信外かよｗ
[1:25:57] t2ba8a: ルビサファ
[1:25:59] ky901att: エメラルドはここ半年くらいで出た、プラチナとダイヤの間
[1:26:02] ixtxirzuctxitxurxlt: 最近追加された
[1:26:03] subaru_bf: こんちは
[1:26:04] ぱんふぁい: なんで枠とらねえの
[1:26:07] Jamesthemesser: 初見ですっていうだけでBANされるぞ
[1:26:08] anti0124: しっかりチャット見てる
[1:26:09] chonbo111: はえー知らんかった
[1:26:10] yuyuyuiiiyui: 止める配信してなかったのかw
[1:26:11] peel_st: あたりまえだのくらっかー
[1:26:11] ayayan11: 裏で男とやってるって
[1:26:20] Jamesthemesser: 裏で男と
[1:26:22] yandereyahoo: 裏で男とやってたのか
[1:26:23] syuimee: え
[1:26:24] Linxuxlll: 昔はブロンゴというランクがあって
[1:26:24] ixtxirzuctxitxurxlt: www
[1:26:28] 塩しゃけ定食: ご作法
[1:26:29] びりびり0810: 自由でいいぞ
[1:26:31] のむのむの: 友達と遊ぶことがないからw
[1:26:32] おがクズ: Vはブランディングあるしな
[1:26:32] mumr4: 前もこんな感じじゃなかったか？
[1:26:34] 2期: お前、いい奴だな
[1:26:35] yuyuyuiiiyui: そういうとこ律儀で交換持てる
[1:26:36] ぽんです: 逆に丁寧で草
[1:26:37] ケツアゴ: コラボ知らず
[1:26:37] はいじんちゃん: お作法を気にするんだ
[1:26:37] kanshuu: vこわ
[1:26:37] けろる: 意外とちゃんと考えた
[1:26:38] らあすと: これはこれはご丁寧に
[1:26:38] umakuchishoyu: 前もいってなかったか
[1:26:39] shibamaru3: ないんだよね
[1:26:42] yakata12: 気とか使えるのか
[1:26:45] act12326: なぜそれができるのにavしてしまったのか
[1:26:47] 塩しゃけ定食: いい子だなぁ…
[1:26:47] ザリガーノ: こっちから言うまで配信つけない人
[1:26:48] peel_st: 良いやつだな
[1:26:48] ユメオ: クソ真面目だな
[1:26:49] おがクズ: あ
[1:26:49] tokona10: あ
[1:26:50] as4kura3: vのご近所付き合いめんどくさそうやなぁ
[1:26:50] riri_desu__: www
[1:26:50] umakuchishoyu: おせんちになってるからね
[1:26:51] 辛味噌ネギ牛丼: Vこわい
[1:26:52] ixtxirzuctxitxurxlt: あ
[1:26:54] びりびり0810: 同接をばらけさせないためとかそういう…
[1:26:54] civicool: あ
[1:26:54] akykan: ぷっさんとかも枠とらんよな
[1:26:55] デュタ: 人間の行動を学習するモンスター
[1:26:55] MrYasu02: 考えてるのになんで腫れ物なんだろうな
[1:26:55] ぺろキャン: かわいいな
[1:26:56] おがクズ: まずい
[1:26:56] 411c3: あ
[1:26:56] dunas1833: そう言う所はちゃんと出来るのになあ
[1:26:57] sarusuberi22: あ
[1:26:57] shibamaru3: まずい
[1:26:57] ケイおじさま: wwwwwww
[1:26:58] yuyuyuiiiyui: まともなのにavやっちゃったんだろね
[1:26:58] ぷちます: BibleThump BibleThump
[1:26:58] ぺろキャン: あ
[1:26:59] nitamago33: ｗｗｗｗｗｗ
[1:27:00] ケツアゴ: なーんでだろねぇ～
[1:27:00] たいにー: あ
[1:27:00] おがクズ: 蒸し返すな
[1:27:00] ixtxirzuctxitxurxlt: まずい
[1:27:00] civicool: おい
[1:27:01] t2ba8a: あ
[1:27:01] osyoyuyasan: ほんとな
[1:27:02] taishin777: ノンデリ
[1:27:02] hetawan777: 一回炎上してまともになったんか
[1:27:03] ぱんふぁい: 常識ある異常者
[1:27:04] guttotea: wwwwww
[1:27:04] mumr4: けんちゃんの枠でってことか
[1:27:05] Nemu1010: Vでも今時そんなもんないｗ
[1:27:05] konishiyukinaga1558: どうして任天堂に一言効かなかったのか
[1:27:08] riri_desu__: BloodTrail
[1:27:09] おもチ: あの時は売れて調子に乗ってた
[1:27:11] umakuchishoyu: 反省のおに
[1:27:11] yakata12: やめたれw
[1:27:12] taishin777: 春日
[1:27:15] ザリガーノ: 事務所はOK出してくれたもんな
[1:27:17] kakizaki2: そういうのに配慮できるのに……ラインの判断が…
[1:27:18] ぺんニキ: 傷ついて人は成長するもんです
[1:27:18] yuto5290: www
[1:27:19] ユメオ: www
[1:27:19] osyoyuyasan: そもそもその企画がとおちゃったからいかんよな
[1:27:21] 411c3: 企画としてはおもろいだろうけどラインは越えちゃね
[1:27:21] kamibou2: マジでラインがわからん
[1:27:21] びりびり0810: ｗｗｗ
[1:27:22] 冷たい焼肉: トゥース？
[1:27:24] subaru_bf: tomeruUMA tomeruUMA
[1:27:28] ankomoti8108: トゥースしてそう
[1:27:31] Jamesthemesser: 事務所は通してた
[1:27:32] naosan__: 寿司にカレーぶっかけたようなもんか
[1:27:33] ケツアゴ: 10万いって勢いついちゃった
[1:27:36] agedohfu: ラインは難しいからね
[1:27:36] sushinotami: こんけんき
[1:27:40] ginji0222: これランク？
[1:27:40] 0keyur9: 運だけの春日
[1:27:45] ケツアゴ: 15分ggか
[1:27:48] けろる: この人があの人か
[1:27:50] umakuchishoyu: スマーフいるぞって
[1:27:53] haluaoi: 事務所が悪かったってこと？
[1:27:57] ポニーテールしたメダカ: ランクでキャリーしてもらおう
[1:27:58] sushinotami: !member
[1:27:58] Nightbot: 息根とめる
[1:28:11] yandereyahoo: 傷つく人がわからんかったんやろ
[1:28:15] Jamesthemesser: ババア
[1:28:16] osyoyuyasan: とりんけっと？
[1:28:22] umakuchishoyu: タイムスリップしてきたのかな
[1:28:31] as4kura3: ピンがどれかわからんかったんかな
[1:28:36] chiwawag: こんけんき
[1:28:36] 辛味噌ネギ牛丼: 昔は視界ピンというものがあって
[1:28:39] me3156: ピンさせるのも昔から比べると変わってますもんね
[1:28:53] akykan: 時代は違うけど動きはさすがだ
[1:29:01] haluaoi: ソンフンミンもケーアール鯖プラチナじゃなかった？
[1:29:02] osyoyuyasan: あーピンの仕様もへんなリングでるようになってるもんな
[1:29:02] peel_st: まーじでうまいな
[1:29:11] ぺろキャン: ww
[1:29:13] ポニーテールしたメダカ: 今も視界ピンあるよ
[1:29:14] Jamesthemesser: 昔話
[1:29:16] musashi454: w
[1:29:17] らあすと: わたしがわかいころはのう
[1:29:18] ケツアゴ: 昔はのぉ…
[1:29:18] acaklo: むかしむかしはな
[1:29:30] naosan__: 戦時中のおはなし
[1:29:34] ぷちます: 翁とめる
[1:29:34] けろる: 情報が錯綜しております
[1:29:38] 辛味噌ネギ牛丼: 設定しないと出せないはず
[1:29:38] えにくすさん: とめるのディスコボイスちょっと下げられませんか？
[1:29:40] Linxuxlll: 今はプッシュピンとかオールインピンとかもあるよね
[1:29:53] osyoyuyasan: 昔は緑ワードが７５ゴールドでうっててのぅ。賢者石っていうサポアイテムがあったんじゃ！
[1:29:58] saituyoman77: Hキーででるやつ？
[1:29:58] dunas1833: 今は昔よりレベル上がりやすいらしいし
[1:29:59] まぐろさん_: miaピンだけ覚えてればいい
[1:30:04] けろる: 昔と違ってレベル上がりやすいんだよね
[1:30:10] syuimee: 気遣われてる
[1:30:23] peel_st: 昔はめんどくて30LVアカウントRMTであったよね
[1:30:24] びりびり0810: ええやん
[1:30:27] ぺろキャン: いいね〜
[1:30:28] 緋蜂: 強い
[1:30:28] ケツアゴ: もうノリノリやな
[1:30:29] osyoyuyasan: そもそもとめるさんの時代はアイアンっていうランクもなかったかも
[1:30:29] ぱんふぁい: ないすうー
[1:30:30] ixtxirzuctxitxurxlt: 今は1週間でランクいける
[1:30:31] らあすと: ないすー
[1:30:34] AyamuneEri: 昔は３０レベルまで２００戦くらい行かないといけなかったからね
[1:30:35] me3156: ないすー
[1:30:38] MiRa9L: 昔は30れべでmaxだから
[1:30:41] Jamesthemesser: 気使われてる
[1:30:45] act12326: ブロン5
[1:30:50] まぐろさん_: そもそもサモレベも30以上あがらなかったし
[1:30:50] ShanaKamishiro: あｗ
[1:30:51] Jamesthemesser: あっ
[1:30:52] syuimee: あ
[1:30:54] ぺろキャン: あ
[1:30:56] musashi454: a
[1:30:57] hatimitudesu: nezD
[1:30:59] konishiyukinaga1558: 止めるの時代は画面も白黒だったらしいな
[1:31:01] しんふ: アイアンなくて、比喩でブロンズの下にウッドってバカにする名称があった
[1:31:02] Jamesthemesser: 言葉選んでるぞ
[1:31:05] Linxuxlll: ブ、ロンゴ
[1:31:10] mm_kos: アドw
[1:31:12] umakuchishoyu: 闇の底
[1:31:13] akykan: 昔はフラッシュとるのもめんどかった
[1:31:14] らあすと: gg
[1:31:16] ぱんふぁい: gg
[1:31:17] subaru_bf: やりたいほうだい
[1:31:17] me3156: gg
[1:31:17] ぺろキャン: GG
[1:31:18] 411c3: gg
[1:31:19] ポニーテールしたメダカ: ランクいくぞおおおおお
[1:31:20] ぱんふぁい: 枠
[1:31:23] umakuchishoyu: ぬいてるぞ
[1:31:24] カニカマン: ルーンは買うんやで
[1:31:24] おさとも: ez
[1:31:25] act12326: とめる繋げ
[1:31:28] kuria0712: sekiHH
[1:31:28] まぐろさん_: けんきと川島オブレジェンドしかいない
[1:31:30] 辛味噌ネギ牛丼: wood
[1:31:31] 411c3: とめるラジオ
[1:31:32] osyoyuyasan: ウッド
[1:31:32] ケツアゴ: 紙ｗ
[1:31:32] guttotea: ww
[1:31:34] おさとも: かみ
[1:31:40] 仲根にど: 髪
[1:31:41] haluaoi: とめるにティッシュ使うの！？
[1:31:41] karaas7: とめるが始めたのが40歳くらいのとき？
[1:31:43] umakuchishoyu: おもろいよな
[1:31:45] ソロマスオタク: あるぞ
[1:31:46] 1chigo_mochi: やってるよ
[1:31:46] Jamesthemesser: とめにー
[1:31:49] 辛味噌ネギ牛丼: やってはいるよ
[1:31:49] ゆーせいー: 川島さんｗｗｗ
[1:31:58] ぱんふぁい: 枠とれとめる
[1:31:59] umakuchishoyu: 伝説
[1:32:02] まぐろさん_: 川島さんいまアイアン２です
[1:32:04] 2期: あえて黙るけんき
[1:32:05] ケツアゴ: SEAではbambooランクじゃないんすかね
[1:32:07] 仲根にど: 普通にコメ読みしてるの笑う
[1:32:11] Jamesthemesser: 川島より下なの
[1:32:11] astonage: とめる今日も元気だね
[1:32:13] ixtxirzuctxitxurxlt: 今でもアイアンの番人です
[1:32:22] nitamago33: ｗｗｗ
[1:32:28] shotaste: けんきの配信見てると、asianbunnyがおすすめチャンネルに表示されるようになるんですけど・・・
[1:32:30] おがクズ: ああ、とめるちゃんエメラルドじゃなかったわ
[1:32:30] yangshi86: 配信つけないのか？
[1:32:31] Jamesthemesser: これがママ活
[1:32:41] ポニーテールしたメダカ: あ
[1:32:42] おさとも: あ
[1:32:43] ぺろキャン: あ
[1:32:43] ケツアゴ: あ
[1:32:44] ayayan11: スマーフか
[1:32:45] ぷちます: PopNemo
[1:32:45] shotaste: あ
[1:32:45] 411c3: あ
[1:32:46] umakuchishoyu: あ
[1:32:46] 辛味噌ネギ牛丼: あ
[1:32:46] ixtxirzuctxitxurxlt: あ
[1:32:46] おがちゃん0308: あ
[1:32:47] syuimee: よくない
[1:32:47] ぺんニキ: あ
[1:32:48] shibamaru3: ス
[1:32:48] Jamesthemesser: あ
[1:32:48] おさとも: すまーふ
[1:32:48] ぱんふぁい: あ
[1:32:48] subaru_bf: あ
[1:32:48] 昆布畑: あ
[1:32:49] ゆーせいー: まずいｗ
[1:32:50] nitamago33: 転生前の
[1:32:50] ixtxirzuctxitxurxlt: す、まーふ
[1:32:51] MrYasu02: り、おん
[1:32:51] ダンデり: アブナイアブナイセーフ
[1:32:51] おがちゃん0308: スマーフ
[1:32:52] akykan: スマーフになるか
[1:32:53] ankomoti8108: あっぶね
[1:32:53] ぺろキャン: す、まーふ
[1:32:53] mm_kos: あっぶな
[1:32:53] ixtxirzuctxitxurxlt: り、おん
[1:32:55] ぱんふぁい: すまー、ふ
[1:32:55] calamal_bechiato: 炎上ケア
[1:32:55] ケツアゴ: チンブーかもです
[1:32:56] MrYasu02: べ、に
[1:32:57] のんだくれ: とめちゃんが居ると聞いて見にきました
[1:32:57] haluaoi: スマー、フ
[1:32:58] ixtxirzuctxitxurxlt: お、とうと
[1:32:58] うばん: ナイス回避
[1:32:59] ウニばあす: す、まーふ
[1:33:00] おがクズ: たぬき忍者が怒られた
[1:33:00] びりびり0810: り、おん
[1:33:00] high_tech_hunter: タマブー
[1:33:00] kakizaki2: すまーt
[1:33:04] taishin777: tnp
[1:33:05] 1chigo_mochi: え？
[1:33:05] ポニーテールしたメダカ: 本垢出してもらえば？
[1:33:05] ぺろキャン: wwwww
[1:33:06] andaseizounin: 草
[1:33:06] umakuchishoyu: ＷＷＷＷ
[1:33:07] financier29: それを言い出すとV全部
[1:33:07] 411c3: ID名終わってるｗｗ
[1:33:08] ShanaKamishiro: おわってるよ
[1:33:08] musashi454: TINP？
[1:33:08] 昆布畑: ww
[1:33:09] たいにー: えっど
[1:33:10] 緋蜂: ひでえ名前w
[1:33:10] mm_kos: 尖りすぎだろw
[1:33:10] まぐろさん_: BANされろ
[1:33:14] agedohfu: 名前やめろｗｗ
[1:33:14] piyo_gg: えぐい
[1:33:14] ぺんニキ: 終わってるよｗｗｗ
[1:33:14] おさとも: temp
[1:33:14] nitamago33: tmp
[1:33:14] MrYasu02: 下ネタネーム終わってます
[1:33:15] おもチ: とめる配信しろよw
[1:33:15] ぷちます: 体は大人なの？
[1:33:16] ケイおじさま: 江戸川珍歩すきｗ
[1:33:16] Nemu1010: 金玉にしろよ
[1:33:17] ゴアタマ: 名前最悪です
[1:33:18] osyoyuyasan: ひどすぎて草
[1:33:18] shibamaru3: sekiChibi
[1:33:19] のむのむの: 欲求不満すぎだろw
[1:33:20] Kamu001002: 終わってんね笑笑
[1:33:22] taishin777: エロ女過ぎる
[1:33:23] ぺろキャン: 舐められない様に、ね
[1:33:26] act12326: ちんぽの方でランクはないって行けるならとめるの方でいってんいんじゃね？
[1:33:33] yandereyahoo: 下ネタにすると舐められないらしい
[1:33:34] saratoga828: それは舐められるだろ
[1:33:34] kakizaki2: 垢版されてたら、これが本垢になるな
[1:33:42] けろる: LOLってサブ垢ありじゃなかったっけ
[1:33:48] me3156: 去年の終わりってまだ２か月じゃないい？
[1:33:50] のむのむの: で誰にも呼ばれないなーってね
[1:33:50] osyoyuyasan: いきのねなめる
[1:33:51] MrYasu02: ちんpoついてるん？
[1:33:51] たいにー: wwwwww
[1:33:52] らあすと: ちんぽついてないか
[1:33:52] ポニーテールしたメダカ: ちんぽついてない！？
[1:33:53] chiwawag: Wwww
[1:33:53] Jamesthemesser: チンポは舐められる
[1:33:53] king_macky: ついてない
[1:33:53] 411c3: 江戸川珍歩と股間くんの夢の共演だあああああ
[1:33:53] 初動: wwwww
[1:33:53] ケツアゴ: ついてないｗ
[1:33:53] がはは_: www
[1:33:54] えにくすさん: そりゃついてないだろ
[1:33:54] financier29: wwwwww
[1:33:54] taishin777: tnpついてない！？
[1:33:55] ハン_한: 大人じゃなかったらPC組む金ないやろ
[1:33:55] ぱんふぁい: tnpついてないのか
[1:33:55] andaseizounin: ちんぽ呼びは草
[1:33:55] inarikkk: そりゃ付いてないよな
[1:33:55] nitamago33: wwww
[1:33:55] 昆布畑: wwwwwwww
[1:33:55] 1chigo_mochi: 会話が
[1:33:56] ウニばあす: 下ネタで舐められたら終わりだよ
[1:33:56] びりびり0810: ついてるついてない
[1:33:56] ダンデり: ついてねぇならいいか
[1:33:56] dunas1833: ｔｍｐついてない？ｗ
[1:33:57] まぐろさん_: まぁついてはいないな
[1:33:57] yuto5290: www
[1:33:57] yandereyahoo: ちんぽはついてないだろ
[1:33:57] ケイおじさま: 珍歩ついてないｗ
[1:33:57] おがちゃん0308: ん
[1:33:58] umakuchishoyu: しもねたやめてね
[1:33:59] nienie33333: なんの話だったっけｗ
[1:33:59] 仲根にど: ちんぽはついてないよね
[1:33:59] ぷちます: ならええか
[1:34:00] 辛味噌ネギ牛丼: ｗ
[1:34:00] ザリガーノ: チンポついてないかあ
[1:34:00] act12326: ちんぽbanされたわけじゃないよね？
[1:34:01] ぺろキャン: この名前で舐められるだのなんだの
[1:34:01] おがクズ: やめてね
[1:34:03] haluaoi: セクハラだ！
[1:34:03] おがクズ: セクハラ
[1:34:03] 緋蜂: 草
[1:34:03] musashi454: え
[1:34:04] yuto5290: やめとけwww
[1:34:04] potatodrink9: なんの話してます？
[1:34:05] 411c3: ついてないの！？
[1:34:06] hetawan777: w
[1:34:06] ねぎねぎ: おちんついてない
[1:34:07] ぺろキャン: wwww
[1:34:07] suggoi_tamatama: あ
[1:34:07] basho2022: これは草
[1:34:08] mm_kos: ひでえやw
[1:34:09] ぺんニキ: 一旦ややこしいかｗｗｗｗ
[1:34:10] agedohfu: そらついてないだろ
[1:34:10] riri_desu__: セクハラやめてね
[1:34:11] MrYasu02: お前だよ言ってるのww
[1:34:12] me3156: あーあ
[1:34:12] ShanaKamishiro: あ
[1:34:12] osyoyuyasan: ここ、きりぬき
[1:34:13] 仲根にど: おんなのこなんですう〜
[1:34:14] shibamaru3: BloodTrail
[1:34:14] taishin777: 置換界隈
[1:34:15] ケイおじさま: ｗｗｗｗｗｗｗ
[1:34:15] subaru_bf: けんきいけない！
[1:34:18] ウニばあす: セクハラかぁ...
[1:34:18] からもこ: 最低だな
[1:34:18] musashi454: ｗｗｗ
[1:34:19] umakuchishoyu: せくはらのせなか
[1:34:19] akykan: けんきがばんされるのか
[1:34:20] yuto5290: www
[1:34:21] ぺろキャン: kenkiDoup kenkiDoup kenkiDoup
[1:34:21] たいにー: あ
[1:34:22] らあすと: 父の背中やめてセクハラ
[1:34:22] mm_kos: あ
[1:34:22] tomdayo: ｗｗｗ
[1:34:23] 昆布畑: www
[1:34:23] えにくすさん: ｗｗｗｗｗｗ
[1:34:23] inarikkk: 無敵の無職
[1:34:23] ひまぐれ: ｗｗｗｗｗｗｗｗｗｗ
[1:34:24] おがちゃん0308: あ
[1:34:24] ixtxirzuctxitxurxlt: あ
[1:34:24] 411c3: あ
[1:34:24] ぺろキャン: あ
[1:34:24] 初動: wwwwww
[1:34:25] musashi454: あ
[1:34:25] ぷちます: NotLikeThis
[1:34:25] Jamesthemesser: 乳の
[1:34:26] タダノヒヨコ: く、びだったのか
[1:34:26] おがクズ: 無敵おじさん
[1:34:27] saratoga828: けんき最低だな
[1:34:28] roroara: まじかー笑
[1:34:28] kakizaki2: なるほどね
[1:34:30] mikazuki_____: まーたセクハラ Poooound
[1:34:31] musashi454: マジかけんき
[1:34:32] yandereyahoo: セクハラしたくて引退か
[1:34:32] デュタ: セクハラ王けんき
[1:34:32] kanshuu: 無敵の人
[1:34:34] からもこ: 乳の
[1:34:35] karaas7: 訴訟したほうがいい
[1:34:35] umakuchishoyu: 変態おやじになった
[1:34:35] おがクズ: 誰にも迷惑かかんないからな
[1:34:36] 未来の魔神: 下おじ
[1:34:37] haluaoi: さっきティッシュ取ってきたのってまさか...
[1:34:37] おさとも: a
[1:34:38] ShanaKamishiro: 無敵すぎるよ
[1:34:40] osyoyuyasan: 無敵の人
[1:34:41] たいにー: そういう事だったかぁ
[1:34:41] バジル12: けんき、フリーになった瞬間セクハラかよ最低だなwww
[1:34:41] basho2022: あ
[1:34:44] akykan: 訴訟だ
[1:34:45] musashi454: ｗｗ
[1:34:45] 1chigo_mochi: 無敵の人
[1:34:46] ShanaKamishiro: あ
[1:34:47] sin_key_law: そういうこと
[1:34:47] らあすと: ｗｗｗｗ
[1:34:47] roroara: セクハラの背中
[1:34:48] ザリガーノ: 切り抜きが捗るなあ
[1:34:48] 8_matuyu: 終わってるwww
[1:34:49] ウニばあす: ティッシュは伏線
[1:34:50] おがちゃん0308: ww
[1:34:52] ぺろキャン: マジかよけんき最低だな
[1:34:52] shibamaru3: BibleThump
[1:34:53] yuto5290: 終わってるwww
[1:34:55] king_macky: こわーい
[1:34:56] ぺんニキ: これ、名誉棄損ですｗｗｗ
[1:35:00] yu_niki: 痴漢界隈やめてね
[1:35:00] ネコガン: そんなキャラじゃねーだろw
[1:35:00] 仲根にど: 男の人っていつもそうですよね！
[1:35:01] おさとも: こわーい
[1:35:01] umakuchishoyu: けんきもｎｏｅｚだな
[1:35:05] tomusan8: 二毛作されるぞ
[1:35:12] 411c3: 来る方が終わってるってｗ
[1:35:14] デュタ: 隙あらば燃やしにかかってくるｗ
[1:35:15] だーいおう: どっちにしろ女としか遊ばないだろ
[1:35:27] metal_sasami: 二毛作
[1:35:33] ぺろキャン: kenkiTira kenkiTira kenkiTira
[1:35:34] まぐろさん_: 窮屈な世の中になっちまったな
[1:35:39] andaseizounin: LOLとXどっちの話？
[1:35:40] たいにー: えぇ…
[1:35:43] 緋蜂: そうなんだ
[1:35:44] 仲根にど: 不毛作
[1:35:46] osyoyuyasan: けんきさんのちんとつたすかる
[1:35:48] karaas7: 一毛作やんけ
[1:35:50] Jamesthemesser: w
[1:35:51] 山本1794: と、める？
[1:35:53] 未来の魔神: ほんもの
[1:35:55] haluaoi: チン凸も来ないこんな世の中じゃ
[1:35:59] Jamesthemesser: lolは遊びじゃないんで
[1:36:04] ゆーせいー: チラ
[1:36:05] ザリガーノ: 喋んなハゲ！ってこと？
[1:36:06] yandereyahoo: ブドウ糖のやつ？
[1:36:11] ポニーテールしたメダカ: え？？？
[1:36:12] MrYasu02: 歯が死んでるから
[1:36:12] yandereyahoo: 誘ってる？
[1:36:12] おさとも: あ
[1:36:13] ofum1: !member
[1:36:13] Nightbot: 息根とめる
[1:36:14] ぺんニキ: ｗｗｗｗｗｗｗｗ
[1:36:14] ぺろキャン: あ
[1:36:14] nitamago33: 入れ、歯
[1:36:14] タダノヒヨコ: む、しば
[1:36:14] ぱんふぁい: 歯医者いけ
[1:36:15] 仲根にど: 今噂のラムネのやつ？
[1:36:16] 山本1794: 理由が…
[1:36:16] omacom_g: 草
[1:36:19] osyoyuyasan: 歯のない人生
[1:36:19] びしょーーじょ: 老人
[1:36:19] musashi454: B
[1:36:20] ケイおじさま: 歯医者行ってくれ
[1:36:20] anti0124: 乳児
[1:36:20] けろる: やっぱばあちゃんやん
[1:36:21] subaru_bf: 歯がねえ
[1:36:21] acaklo: おばあちゃんだね
[1:36:22] ソロマスオタク: ｗｗ
[1:36:22] 緋蜂: おばあちゃん
[1:36:23] おがちゃん0308: 歯抜けのたみなのかろ
[1:36:23] ShanaKamishiro: はがおわってる
[1:36:23] kanshuu: こわ
[1:36:23] 五年一組田中君: おじいの悩みやん
[1:36:24] Jamesthemesser: チンポじゃん
[1:36:24] のんだくれ: 歯医者行け
[1:36:24] konishiyukinaga1558: し、んなー
[1:36:24] metal_sasami: おばあちゃん
[1:36:24] 春川遥香: 歯が溶けてる!？
[1:36:25] ケツアゴ: もう2年歯医者行けって言われ続けてます
[1:36:25] デュタ: それが昼飯なのか
[1:36:25] andaseizounin: 錦鯉のまさのりと一緒
[1:36:26] naosan__: 入れ歯のジジイと同じ
[1:36:26] riri_desu__: karubisLllllllllllll
[1:36:26] バジル12: おばあちゃんだもんな
[1:36:26] nehan07: ババア BibleThump
[1:36:27] ハン_한: BBAやんwwwwwwwww
[1:36:27] えにくすさん: 神経がほとんど死んでるからな
[1:36:27] 猫又雅: 歯医者行こうや
[1:36:28] くぐ2: あかちゃん
[1:36:30] king_macky: 歯の根止める
[1:36:30] agedohfu: 虫歯治ってないのか？
[1:36:31] らあすと: 酔っちゃった/
[1:36:31] umakuchishoyu: インプラント意見のか
[1:36:32] mm_kos: 臭そう
[1:36:32] takahashi_png: BibleThump
[1:36:32] ShanaKamishiro: 全部神経まで？
[1:36:33] 未来の魔神: きついよ
[1:36:33] yandereyahoo: 保険入ってる？
[1:36:36] ayayan11: 俺も死んでるから仲間だね
[1:36:36] haluaoi: 歯抜けボイスじゃなくない？
[1:36:38] まぐろさん_: 歯もぼろぼろ
[1:36:39] metal_sasami: 歯がないと口でする時めっちゃ気持ちいいらしいぞ！
[1:36:47] デュタ: 物凄い数の虫歯があるんだったか
[1:36:55] ぱんふぁい: へえー、きもちいいのか
[1:36:57] osyoyuyasan: CSちゃんとしてるし、AAもしっかりしてるのやばいですよ
[1:37:02] おもチ: 全部インプラントにしたの?
[1:37:03] おがちゃん0308: なんで医者いかねぇんだw
[1:37:03] tomusan8: パブルボッカ
[1:37:06] 辛味噌ネギ牛丼: ＣＳ取れるだけで最強になれるゲーム
[1:37:06] ぱんふぁい: アネロン
[1:37:11] えにくすさん: ＯＤして唾液が出なくて終わった
[1:37:13] バジル12: 歯もなくて腫れ物なのにLOLは強い女www
[1:37:14] me3156: 酔い止めって虫歯になるの？
[1:37:16] 猫又雅: 酔い止め常飲してるんだったな
[1:37:19] MrYasu02: へー
[1:37:19] おがちゃん0308: あーなるほど
[1:37:20] kyo_llll: 歯の根 とめる
[1:37:22] びしょーーじょ: えぇぇ…
[1:37:24] yandereyahoo: へー
[1:37:24] nitamago33: へー
[1:37:25] びりびり0810: この話2回目です
[1:37:27] ケイおじさま: アネロン中毒の弊害
[1:37:28] 山本1794: へー
[1:37:31] akykan: なるほど
[1:37:32] kuria0712: w
[1:37:33] 仲根にど: へ〜〜
[1:37:33] dunas1833: そんな事になるのか
[1:37:34] おさとも: こっわ
[1:37:34] subaru_bf: 口開ける人もそうだな
[1:37:35] レれレ1: 唾液じゃない？
[1:37:35] ミりン: こわw
[1:37:36] nitamago33: 口呼吸も乾燥するから虫歯なるっていうしな
[1:37:41] デュタ: 口の中の水分が消えちゃうのか
[1:37:42] ぺんニキ: 前もその話聞いてたよね・・・？
[1:37:42] でんのすけ77: 唾液がなくなるのか
[1:37:45] あねちゃん_: …φ(．．)ﾒﾓﾒﾓ
[1:37:46] バジル12: こわwww
[1:37:46] 仲根にど: 配信者らしい理由がちゃんとあったのか
[1:37:47] 春川遥香: 唾液が歯を保護してくれるんだ…
[1:37:49] 山本1794: てかそれでもちゃんと歯磨きしてればならなかったのでは？
[1:37:49] osyoyuyasan: LOLの罵倒があまりにもナチュラルで笑う
[1:37:59] betheone428: けんきは虫歯なったことあるの？
[1:38:08] おもチ: 風呂はちゃんと入ってるのか?
[1:38:09] 猫又雅: 大体アネロンのせいか
[1:38:13] ky901att: フラッシュチャームうま
[1:38:14] umakuchishoyu: 接待されてら
