[0:00:43] いふく: あのエビにmidを！？
[1:45:40] shinzaki999: LOLって状況別で正解がめちゃあるから教えるのめんどくせえｗ
[1:47:28] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[1:47:33] bani_nq: あーこれもこれもこれも状況によります^^→初心者爆散
[1:48:04] jad582: このコーチングってランクのためのコーチング？それとも大会？
[1:48:29] indoorha: メレーなら欲張っちゃダメよね
[1:48:33] えるみっと: 怯えるようにどっか行く
[1:48:44] toyzaurusu: 大体そう
[1:49:57] sinma001: タワー範囲は身体で覚えるしかないよな
[1:50:09] コーラ大好き: これVCしてる時のリプレイか
[1:50:14] darksworks: スワップまで全然話が進まんな。すべてを教えているからｗ
[1:50:31] Phamisya: 時間短縮
[1:50:38] 電脳的オラウータン: 単に先にさわったほうがいいよねってだけの話や
[1:50:39] shinzaki999: 細かい有利の積み重ねをするための小技が多すぎる
[1:51:44] bani_nq: 視点よすぎだろ
[1:51:57] darksworks: ABOさすがのゲームIQ
[1:52:00] monzpo: エビオセンスあるな
[1:52:03] gyano3: エビオは理を割と重要にするから話が進みにくい
[1:52:18] shinzaki999: 理系タイプ
[1:52:26] たぴおかぱん: 理解はやい
[1:52:40] monzpo: ゆっくりでも理解しながら進む方が絶対にいい
[1:53:18] darksworks: CSよりもデスのほうが重い
[1:53:56] legitfroggy: ターンの話まで行っちゃった
[1:54:01] コーラ大好き: しゃるるは止まらない
[1:54:05] bani_nq: これを試合中止まることなく考えてるのすごいなー
[1:54:07] darksworks: 初心者帯はそこまで気にする人多くないので雰囲気でなんとかなる。。。
[1:54:07] レイムゥ: ばんは殺したシーンだ
[1:54:24] vivfiw: よくみたらしゃるさんいて草
[1:54:34] xxtidorixx: ばんは増永いたゲームか
[1:54:49] darksworks: ばんはしゃるるよしあき居るんだよな
[1:54:57] kurou_crunn: あまりにも豪華なメンツ
[1:55:02] きゅべりあさん: こっちのチーム強すぎてぼこぼこにしてたよね
[1:55:14] vivfiw: ほんとだｗ
[1:55:28] すぽっと: vcしてたやつや
[1:55:50] xxtidorixx: 触れたら消えるレベル
[1:55:54] Zeraniumu: 高レートは理由があって前出るけど初心者は適当に前出るのがなあ
[1:56:05] ositei: 体力差も考えないとな
[1:56:12] darksworks: 3レベ差はギリ起きるかな
[1:56:16] shinzaki999: あるなら７.7.9
[1:56:43] bani_nq: ultきて草
[1:56:47] Kiri_1111: 校長のultとんできて草
[1:56:58] darksworks: AIM良くて草
[1:57:09] マリフネ: あんま意識したことなかったなそれ
[1:57:21] himituninja: 質問深くていいな
[1:57:22] tsukuyon: レベルアップに必要な経験値の6割だか7割だか
[1:57:27] altria__: ソロキル経験値以外かんがえたことなかった
[1:57:27] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[1:57:31] びしょーーじょ: おもろい質問
[1:57:35] tsukuyon: レベル差あると補正あり
[1:57:38] gyano3: 意識しなくていいれべるゆ
[1:57:41] muto_6: まじで気にしたことなかったなｗ
[1:57:46] vivfiw: 大いなる力には大きな責任が
[1:58:01] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[1:58:05] xxtidorixx: 経験値というか大体シャットダウン持ってるだろうからな
[1:58:09] MURAKUMO_RED: デスタイマーと賞金と
[1:58:11] shinzaki999: プロのアカデミーコーチングかな？
[1:58:14] boogieman0118: 理屈から組み立てるのが好きなんだな いいね
[1:58:16] gyano3: 変に知識いれないほうがいいな
[1:58:22] bani_nq: 私が育てました
[1:58:39] darksworks: これABO自らから質問してるから問題ないよ
[1:58:58] こってり濃厚: tanukiFree tanukiFree tanukiFree
[1:59:42] shinzaki999: まだスワップｗｗ
[1:59:47] ヒマリ: ｗｗｗｗ
[1:59:47] shinzaki999: 濃密すぎるｗ
[1:59:49] xxtidorixx: たどり着かないスワップ
[1:59:52] legitfroggy: 濃いなぁ
[1:59:55] kangamil: 質問が深すぎる
[1:59:55] toyzaurusu: LOLは教えること多いからね
[1:59:57] たぴおかぱん: まじでえぐいｗｗ
[2:00:02] shinzaki999: 熱心すぎる生徒
[2:00:03] bani_nq: 良質すぎたな
[2:00:03] 無知無知で叡智: 頭パンクするｗ
[2:00:05] darksworks: 濃すぎるけどワース
[2:00:12] たぴおかぱん: でも理解してるんだよな……
[2:00:15] マリフネ: よかったねぇ
[2:00:17] マキがみ: エビオ質問上手すぎだろ合コンうまそう
[2:00:19] xxtidorixx: 言われたこと出来たらもうスムーズにランク上がっていく
[2:00:21] trigger0102: おじゃ。スウェインを選んだのはABOでしたか？布教…？
[2:00:22] Eluseal: 配信は見直せるのでね
[2:00:26] uyoyumussyu: 頭でかい
[2:00:28] h4lffff: 頭いいねぇ
[2:00:29] darksworks: 布教
[2:00:29] マリフネ: tanukiBanzai2
[2:00:29] asa_16: 理解できてるならスゴイね
[2:00:38] えるみっと: エビオさんって、GTA でお世話になったエビオさん？ 名前略されてたんだ
[2:00:44] bani_nq: アーカイブ残してください。私が見ます
[2:00:46] trigger0102: 布教でしたかｗあざます
[2:01:02] Kiri_1111: 初心者はmidスウェインなんて自分で選ばないでござ
[2:01:42] 無知無知で叡智: 半分雰囲気
[2:02:10] darksworks: ボットがスワップしたらスワップするって考えでいいよ。うん
[2:03:05] jammq123: 基本的にレーン勝ったボットがミッド折るためにスワップするよな？
[2:03:15] himituninja: botのファーストタワーが割れるまでじゃない？
[2:03:16] eoeo036: オブジェクトがほしいからサポをミッドに置きたいってことでいい？
[2:03:22] コーラ大好き: タワープレートが消えたらタワー直ぐ折れるからその辺りになるね
[2:03:30] xxtidorixx: 育つと集団戦がおきなくなる
[2:03:36] himituninja: botをタワーの下に置きたいから
[2:03:50] l2017134679: スノー、、、ボール、、、？ほえ？ SuperVinlin
[2:03:51] eoeo036: どっちかっていうとADCのためなのか
[2:03:58] darksworks: サポートが視界を取りに行くのとADCがミッドにいたほうが死ににくいのでMIDに行くのが正解
[2:04:22] shinzaki999: BOT主導よなスワップ
[2:04:52] yukijirusi: あ
[2:05:01] yukijirusi: top ga...we can win
[2:05:05] zunda11111: 育ったファイターは非常に強靭であり・・・
[2:05:09] sudwe: 5人で討伐隊を結成してください
[2:05:10] darksworks: TOPは孤島故みんな固い。。。
[2:05:11] 無知無知で叡智: 土下座ができないと
[2:05:21] コーラ大好き: 初心者帯って長引きがちじゃないか
[2:05:37] 無知無知で叡智: 初心者終わらせ方わかんないから
[2:05:37] w_radish: なぜかやけに上手い低レベルアカウントがたくさんいるから……
[2:05:38] darksworks: 初心者はエンドタイミングが分からず…
[2:05:45] 今宵千鶴: TOPは1度負けると無限に死に続ける人たまにおるからな
[2:05:45] sjfheed: パンテ使ってるからってのはありそう
[2:05:48] zunda11111: 上になればなるほどスノーボールがうまい
[2:05:52] l2017134679: midなだけマシよ、adcなんて有利に取っても一瞬で蒸発するから BibleThump
[2:06:00] healing__healing: lolの闇
[2:06:01] ひやむぎ05: 初見ごろしある
[2:06:24] 無知無知で叡智: 知らないキャラが対面に来るのがね
[2:06:37] 無知無知で叡智: ｗｗｗｗ
[2:06:38] h1ty0u_08: ｗｗｗｗｗｗｗｗｗｗｗ
[2:06:38] yukijirusi: w
[2:06:38] レイムゥ: 今脅威がキツくて...
[2:06:38] gyano3: 知識ゲーと言われる
[2:06:40] ヒマリ: ｗｗｗｗｗ
[2:06:40] もうちょい: ｗ
[2:06:41] ウィートン: LUL
[2:06:41] vivfiw: EleGiggle EleGiggle EleGiggle
[2:06:42] hinadarumahs: wwwwww
[2:06:42] きゅべりあさん: ｗｗｗｗ
[2:06:43] enchanteye1: ｗ
[2:06:44] カーヴ: www
[2:06:44] healing__healing: あ
[2:06:46] darksworks: 心理すぎた
[2:06:46] 風待人: ｗ
[2:06:50] 無知無知で叡智: 今はやめたほうがよさそう
[2:06:51] zunda11111: k4senにキレてたやつかｗｗｗ
[2:06:57] shinzaki999: 味方に助けてもらわないと無理なんよなあ
[2:06:58] たぴおかぱん: ｗｗｗｗ
[2:07:00] Eluseal: ｗ
[2:07:00] yukijirusi: wwwwwwww
[2:07:03] 無知無知で叡智: 正解！
[2:07:04] sukinnbagu: 正解！
[2:07:04] healing__healing: wwwwww
[2:07:04] sudwe: その通り
[2:07:04] レイムゥ: そうなんすよ
[2:07:08] m4ri1l: ラーメンの卵ｗ
[2:07:11] darksworks: ADCはあまりにも味方依存
[2:07:15] zunda11111: 煮卵故・・・
[2:07:19] yukijirusi: しっかりLOL
[2:07:23] Eluseal: adc嫌ならjgいけ！
[2:07:23] akatsuki152431: 全ロール説明必須か？
[2:07:25] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[2:07:25] l2017134679: 正解です！adcは余りにも非力でござ！
[2:07:30] toyzaurusu: そうだよなぁ
[2:07:32] h1ty0u_08: まあ実際そうだ
[2:07:36] たぴおかぱん: 実際ADCはドMロール
[2:07:37] yukijirusi: NotLikeThis NotLikeThis NotLikeThis
[2:07:38] xxtidorixx: ガチで上手いと勝つんだろうけど基本無理なんだよね
[2:07:38] sug51512: でも日本サバチャレadc多いの謎
[2:07:46] ジョーハー: gumaの言葉が染みわたる
[2:07:47] sukinnbagu: チームからしたらadcはただのお小遣い稼ぎでござ！ｗ
[2:07:59] vivfiw: FailFish
[2:08:01] ウィートン: 実際不人気だ・・・
[2:08:02] jinkenmusi: やりたくないんだよねぇ
[2:08:05] ゆっちゃん123: 育った時のキャリーは一番だから...
[2:08:05] w_radish: ゲームに参加する前に試合終わっちゃう……
[2:08:11] Zeraniumu: 好条件重なった時の気持ちよさで脳みそ焼けてる
[2:08:14] rosenhide: まあ実際今のADCは…
[2:08:15] oribeyasunaprime: ラーメンの卵w
[2:08:15] l2017134679: それでもやる人がadcなんですよエビオくん
[2:08:15] shinzaki999: 今シーズンは特に言われてるよなｗ
[2:08:15] gyano3: ソロqは地獄
[2:08:16] xxtidorixx: めっちゃーピールされて英雄に慣れた時があまりにも気持ちいいから
[2:08:17] sudwe: はぁ～ADCってクソだわっていいながらやるロール
[2:08:17] legitfroggy: パチンコやねんな
[2:08:19] h1ty0u_08: ミッドに突っ込む奴
[2:08:20] h4lffff: パチンコ好きそう
[2:08:20] yukijirusi: じゃ、すぱー
[2:08:22] meitoku2000: 育った時の気持ちよさがな
[2:08:34] amd_0723: でもBOTがバカ勝ちすれば2人育つよ
[2:08:37] エミュー: jasper7seDekai
[2:08:38] spooonaya: a delicious curry
[2:08:39] himituninja: 逆に環境が整うと最高に気持ちいからな
[2:08:48] toyzaurusu: カスタムとかなら楽しいんだよね
[2:08:50] darksworks: でもさ～今のLOLはADC弱すぎるよ
[2:08:54] shinzaki999: ギャンブル職よな
[2:08:58] gyano3: カスタムならいいよね
[2:09:19] l2017134679: 今のメイジダメージ馬鹿げてるわ、adcマジで人権ねえ
[2:09:24] darksworks: JGとSUPはPSよりもマクロ
[2:09:26] Eluseal: 序盤壊されたら結局終わりだからな
[2:09:32] toyzaurusu: ロールでうまさのベクトル違うもんね
[2:09:32] gyano3: 引打ち出来ないとやな
[2:09:44] Applol_: adc立ち回り大事だよねー
[2:09:51] shinzaki999: ミクロよなＡＤＣ
[2:09:54] himituninja: ハンドスキルのPSは必要だけど頭のPSは他よりはいらんからな
[2:09:54] sinma001: あればあるほどいいけどね
[2:10:03] darksworks: ADCは圧倒的ミクロ
[2:10:04] altria__: 全部避ければ勝つからな
[2:10:06] zunda11111: 困ったら拒否よ
[2:10:10] 電脳的オラウータン: adcは操作というか全体のスキルとかサモスペ管理できてるかどうかだよな
[2:10:24] kaninomisoni: mid避けたらどうこうだしmidが技量必要に見えるんだよな
[2:10:25] amd_0723: MIDは最悪流せるからな
[2:10:29] toyzaurusu: マルザとかか
[2:10:37] shinzaki999: ＭＩＤまじで自由
[2:10:40] Eluseal: レーン伸びたからちょっと今は苦しくなったか
[2:10:43] legitfroggy: シケラックス
[2:10:55] shinzaki999: 近接キャラね
[2:10:56] まなっど: エコーもごまかし力高い
[2:10:58] gyano3: 近接か
[2:11:04] たぴおかぱん: エコー良いんじゃ？
[2:11:14] 無知無知で叡智: ｗ
[2:11:15] shinzaki999: せ、な
[2:11:39] 風待人: ついに
[2:12:06] 無知無知で叡智: 上位帯は動きがしっかりしてて解説しやすいね
[2:12:34] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[2:13:44] gyano3: 質問が理系やなw
[2:14:04] altria__: 鳥とかゴーレム食ってるだけで相手しなしなですよ神
[2:14:09] darksworks: 埋まっていくのは相手がAFKしている時
[2:14:33] 無知無知で叡智: 雑にやって差が縮まるほうが最悪
[2:14:56] darksworks: 相手というかゴールド有利なチームが
[2:15:33] 無知無知で叡智: ｗｗｗ
[2:16:23] makutaro2323: ザックには飛べるよ
[2:16:28] muto_6: アニビアの卵は無理？
[2:16:40] Kiri_1111: ジャーヴァンの旗に飛べるみたいな
[2:17:04] darksworks: 🥚どうだったっけ飛べたような気するけど
[2:17:09] yosibill: 卵とべるはず
[2:17:21] yosibill: Tpで守るとかあったはず
[2:17:25] 無知無知で叡智: ｗ
[2:17:32] darksworks: ザックのパッシブのスライムも飛べるので
[2:18:02] muto_6: ザックの飛べるなら確かに飛べそう、ありがとうございます
[2:18:21] toyzaurusu: 結構感覚だよね
[2:18:35] keikosandesu: 教えてる人何レベ？
[2:19:00] たぴおかぱん: まだ20lvとかだっけ
[2:19:02] もうちょい: たしか28？
[2:19:09] oya1642: 30いかないぐらい
[2:19:09] l2017134679: ド初心者
[2:19:31] keikosandesu: へー、飲み込み早いな
[2:19:35] darksworks: ゲームIQが高いがゆえに初心者にしては話してる内容が高い
[2:19:48] nagumon007: 生徒さんの頭良いな
[2:20:35] コーラ大好き: Fakerたぬき
[2:21:26] kiri_saka: 太古の昔はレベル20くらいまで使わせてくれなかったフラッシュ
[2:21:37] nukmor: すごい座学してる
[2:21:49] えるみっと: 先生 たぬき
[2:21:52] すみれいろ: 勝つのかみたいな～
[2:21:56] darksworks: 初心者の頃こんなこと考えたこと無かったよ
[2:22:01] kaninomisoni: 最近教えること多くていいね・・・
[2:22:12] kiri_saka: 画面固定だと画面外までいくからなぁ
[2:22:22] yosibill: そういや今日もスウェイン工場してた？
[2:22:40] もうちょい: 絶賛稼働中
[2:22:48] darksworks: 今発言してた通りだ
[2:23:02] yosibill: 工場長
[2:23:05] ぐえ一: ついっちのアーカイブでもよさそう
[2:24:19] motarike05: スウェイン教
[2:24:33] kangamil: スウェインインストール中
[2:24:53] altria__: いつもスウェインインストールしてるな定期
[2:25:31] xxsasukakaxx: RaccAttack スウェイン
[2:25:34] zunda11111: ここまで2時間
[2:25:38] yosibill: ２時間ｗ
[2:25:41] ヒマリ: 座学ｗｗｗ
[2:25:43] himituninja: 座学２時間w
[2:25:46] darksworks: 2時間の座学
[2:25:49] へかてー: しゃるる以上の語り
[2:25:51] きゅべりあさん: 座学大事だからねｗ
[2:25:53] fps_akidai: ずっと座学してたん？
[2:25:57] Eluseal: 座学ゲーだし正しくはあるか
[2:26:04] altria__: ワード語り増永
[2:26:05] darksworks: 座学が一番大事まである
[2:26:15] ジョーハー: 座学モチベ高い人が多くていいね
[2:26:22] asa_16: 座学苦手じゃなくて良かった
[2:26:44] 酢漬け海苔巻き: 座学モチベ偉すぎだ
[2:26:46] unbridledssong: 座学の方が伸びるゲームよ
[2:27:17] Kiri_1111: 持ってないチャンプをプラクティスで使わせろ
[2:27:24] TukimiJPN: XBOXGAMEPASSの連携したら全チャンピオンアンロックされるの教えてあげたら？
[2:27:24] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[2:27:40] yosibill: あきねーたぬき
[2:28:01] darksworks: 弟を見習えLOLプラクティスを充実させろ
[2:28:06] コーラ大好き: XBOX Game pass
[2:28:11] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[2:28:21] shino_draktharr: ブラッドとか向いてんのかな
[2:28:23] yukijirusi: syaruruCoin syaruruCoin syaruruCoin
[2:28:28] TukimiJPN: ９８０円とかです 最近はアサシンクリードヴァルハラとかファークライ６とか着ましたよ
[2:28:41] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[2:28:47] yosibill: おまけでゲームもついてくるのか
[2:29:02] ヒマリ: ｗｗｗｗ
[2:29:04] レイムゥ: おにぎり
[2:29:06] nukmor: おにぎり頭…
[2:29:08] Eluseal: おにぎりくん；
[2:29:12] ssseeE001: NotLikeThis NotLikeThis NotLikeThis NotLikeThis
[2:29:16] ayatujisan: ゼラス君泣いてるよ
[2:29:16] darksworks: おにぎり君って言わないで。。。。
[2:29:19] legitfroggy: 画面固定でゼラス！？
[2:29:21] binmax01: BibleThump
[2:29:29] hc315: 英雄が使うキャラではないか
[2:29:30] kiri_saka: アカリか
[2:29:32] nukmor: jgも行けるしエコーやるでござ
[2:29:33] akanex64: 性格別キャラ診断
[2:29:34] asa_16: フィズは見た目好きそう
[2:29:34] aria_vq: ダイアナにしよう
[2:29:46] madlemongrass: フィズは今装備的に強くなったから良いのでは？
[2:29:49] o_penkai: ゼラス使いはニチャニチャしてないとな
[2:29:50] altria__: キヤナいくぞ！
[2:29:52] motarike05: フィズは脳汁たくさん出るからいいよね
[2:30:15] madlemongrass: ウルトから一気に吹き飛ぶの脳汁ドバーする
[2:30:26] Eluseal: ダイアナいくか
[2:30:29] すみれいろ: ルシウス
[2:30:29] zunda11111: 暗黒面
[2:30:30] びしょーーじょ: ww
[2:30:33] darksworks: じゃあフィズあかんか？
[2:30:36] sabatarou: むかしははげの爺さんだったのに
[2:30:53] darksworks: 烏どこいったんや。。。。
[2:30:57] きゅべりあさん: タイラントスウェインかっこいいやろ！
[2:31:03] レイムゥ: たぶん電撃のオススメルーンだ
[2:31:03] alinacy0101: ルーン選択でかわってた
[2:31:04] himituninja: おすすめルーン選んだな
[2:31:05] binmax01: オススメで上書きされたか
[2:31:05] kusohako: ルーンでおすすめ選んだんじゃね
[2:31:08] o_penkai: オススメルーン選択か
[2:31:09] しろすけ10: ルーンおススメでか
[2:31:10] Zeraniumu: サポ用の奴がインポートされてそう
[2:31:12] xxtidorixx: おすすめか
[2:31:14] もうちょい: あーおすすめか
[2:31:21] sjfheed: おすすめ機能かな
[2:31:35] zunda11111: まんま某宇宙オペラの帝国のイメージだよなこいつ
[2:31:37] TukimiJPN: それは無理では？ｗ
[2:31:51] darksworks: にんにん、初心者の雰囲気だせるのか？
[2:31:58] yuzu1nari: ほんとにたぬきがそうできるでござるか？
[2:33:49] しろすけ10: 当てて見せたるか
[2:33:55] yosibill: 無意識にCSとってるｗ
[2:34:02] kangamil: お手本見せた方が良いかもね
[2:34:07] TukimiJPN: HPも増える？
[2:34:16] haguree: 手本見せたほうが早そう
[2:34:21] 真冬のサンタさん: ｗｗｗ
[2:34:23] ヒマリ: ｗｗｗｗ
[2:34:23] 無知無知で叡智: 配信w
[2:34:24] たぴおかぱん: ｗｗｗ
[2:34:25] o_penkai: w
[2:34:25] カーヴ: ｗｗｗ
[2:34:25] darksworks: 配信者おい
[2:34:30] nagumon007: ほほえましいｗ
[2:34:30] xxtidorixx: 配信者とは
[2:34:31] Eluseal: ｗ
[2:34:34] きゅべりあさん: ｗｗｗｗｗ
[2:34:34] tomatoni53: 配信初心者か？
[2:34:36] かいんです: キャプチャがね
[2:34:36] altria__: 配信初心者の方かな
[2:34:38] もうちょい: lol配信あるある
[2:34:41] amakusa3065: LUL
[2:34:47] kiri_saka: tanukiEe tanukiEe
[2:34:51] 無知無知で叡智: クライアントがなあ
[2:34:56] レイムゥ: クライアント許せねえ
[2:35:03] sabatarou: よく話しながらCS取れるなタヌキ
[2:35:06] darksworks: クライアントとゲーム画面が別なのが悪なんだけどな
[2:35:10] zunda11111: ゴミクライアントがよぉ
[2:35:11] べんす: ちゃっかりcsをとるでござ
[2:35:20] himituninja: 自然にエグイレーン作ってて草
[2:35:22] 無知無知で叡智: ミニオンシャワー
[2:35:27] darksworks: 死んじゃう
[2:35:28] o_penkai: ｗ
[2:35:29] Eluseal: ｗ
[2:35:30] レイムゥ: ｗ
[2:35:30] nukmor: 体が！
[2:35:30] zaq1zaq3: w
[2:35:31] もうちょい: ｗ
[2:35:32] darksworks: あ
[2:35:34] きゅべりあさん: ｗｗｗｗ
[2:35:55] Alka_jp: 配信コーチングはじまった
[2:36:10] ぐえ一: 一度削除して作り直した方がいいかもね
[2:36:13] yosibill: ゲームキャプチャでいけんか？
[2:36:35] sabatarou: 一回仕切り直しか
[2:36:38] n0ll_lol: ゲーム画面をアクティブにしてから映るまでタイムラグあるよね
[2:36:46] TukimiJPN: 自分も配信しようと思ったけど画面うつんなくてゲーム配信諦めた
[2:36:53] darksworks: にんにんはOBSどうしてるでござるか
[2:37:10] 無知無知で叡智: お
[2:37:19] yosibill: よかった～
[2:37:23] yosibill: 経験が生きたぜ
[2:37:33] 無知無知で叡智: lolをしていくうえで一番大事
[2:37:36] zunda11111: サポアイテム買ってるｗ
[2:37:57] darksworks: にんにん、ABOアイテムなんも買ってないでござる
[2:38:25] zunda11111: これエリクサーか
[2:38:51] ひやむぎ05: jgまでいけるのか
[2:39:49] sabatarou: まずはlolに慣れるところからでござるか
[2:41:35] morotodo: cs うまいせつあふ
[2:41:49] darksworks: 初心者はそんな風にCS取らない定期
[2:41:56] 無知無知で叡智: 喋りながらcsとるの初心者大変そう
[2:41:58] hinadarumahs: オートアタックオンになってるかも
[2:41:59] カーヴ: 設定のAAきってないかな？
[2:42:01] かいんです: オートアタックの設定消す？
[2:42:30] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[2:43:10] かいんです: やん
[2:43:45] legitfroggy: マナ持ちいいなこいつ
[2:44:33] chocodarake: コンボ見せてあげたほうがしっくりくるんかなあ
[2:44:44] shinzaki999: LOLの目にならないと難しいよな
[2:45:07] 無知無知で叡智: ボコボコにしたほうが何がされたら嫌かわかりそう
[2:45:41] legitfroggy: ｗ
[2:45:42] 無知無知で叡智: w
[2:45:43] atdktmm: w
[2:45:47] darksworks: ﾍﾟﾁﾍﾟﾁ
[2:45:55] ぐえ一: 電撃ルーンだ
[2:45:57] すみれいろ: サンダーロードやんｗ
[2:46:12] 消しゴムマン: ありますやん？
[2:46:28] たぴおかぱん: ありますやんけでござるやんけ
[2:47:07] ぱぴぽ: めちゃオートアタックしてくるやんｗ
[2:47:31] Freo_n: エビオさんってクイックキャストとかどうなってるんだろう
[2:47:35] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[2:48:28] sabatarou: あれ？
[2:48:29] darksworks: 一回発動したらそれ以降は使わないよ
[2:49:09] 岩蛇: エビオもスウェインに染まるのか
[2:49:21] darksworks: ショットガン
[2:49:26] 電脳的オラウータン: ショットガン
[2:51:25] Kiri_1111: Eを3連続当てて試合終わらせる人もいます
[2:51:48] darksworks: だからゴーストが欲しいんだよね
[2:51:49] legitfroggy: スウェイン復権の鍵
[2:51:52] 真冬のサンタさん: なんとね
[2:51:52] のの_: 初狩り
[2:52:02] zunda11111: RaccAttack 初狩りでござるよ
[2:52:03] kasukabeharu: 初狩りができるでござ～～～
[2:52:03] kangamil: 工場長ウキウキなんよ
[2:52:06] Kiri_1111: 今夜勝てるLoL
[2:52:11] sinma001: 割と上のレートでもウルト範囲から出ない奴もいるしなあ
[2:52:27] sabatarou: 過信よくない
[2:52:39] Applol_: 実質ラマットラカ
[2:53:24] sabatarou: パッシブスキルっていえばたぶん通じるでござ
[2:53:47] sputnick4: E引き寄せないと魂吸えないんじゃなかったっけ
[2:53:52] darksworks: Qの左がパッシブと言えばわかるか？
[2:55:58] 無知無知で叡智: AIbotいかない？
[2:56:10] darksworks: AIでMID行くやつどれだ
[2:56:18] きゅべりあさん: プライドｗ
[2:56:29] xxtidorixx: ザイラとかやたらとスキル当ててきた気がする
[2:56:36] darksworks: アニーとかMID行くか？
[2:56:43] たぴおかぱん: ラックスとかも有能
[2:56:44] Applol_: aiザイラマジ強い
[2:56:44] sabatarou: スウェインいない？
[2:56:46] 無知無知で叡智: 5人入れたら誰かしらmidいくとは思うけど
[2:57:02] きゅべりあさん: それだとＢＯＴいっちゃう
[2:57:03] たぴおかぱん: BOTだよ
[2:57:06] kz04k: カメラの動かし方とか見なくていい？
[2:57:07] sabatarou: ああどこいくかわかんなにのか
[2:57:14] enchanteye1: BOTに行く
[2:57:15] たぴおかぱん: BOT,TOP,MID,BOT,TOPの順
[2:57:26] sabatarou: MID系チャンプで梅とこ
[2:57:28] Applol_: 優先順位があるんだ
[2:57:37] bot4moti: Midガチャ
[2:57:37] bean2249: 真ん中がmidか
[2:57:38] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[2:57:42] レイムゥ: カスタムAIそんな感じなのか
[2:57:46] darksworks: 昔の2TOP、1mid,2botが未だにあるAI線
[2:58:05] zunda11111: これ全員midに来たりしてｗ
[2:58:13] chocodarake: カシオペア結構当ててきた気がする
[2:58:14] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[2:58:19] sabatarou: ガチャ
[2:58:20] ヒマリ: どれか来る
[2:58:22] hc315: mid5人衆
[2:58:30] たぴおかぱん: ガチャいくぞ
[2:58:40] きゅべりあさん: mid三銃士を連れてきたよ！
[2:59:14] 無知無知で叡智: うなぎ
[2:59:23] darksworks: うなぎはﾖﾜｲ
[2:59:47] 無知無知で叡智: 時間たったら来るかも
[2:59:51] mei_kerem: 前のウナギよりマシだぞ
[2:59:54] kasukabeharu: うなぎ練習しよう
[3:00:13] きゅべりあさん: セカンドタワーまで行くと寄ってくるくらい
[3:00:14] sabatarou: ミニオンと一緒に来るのかな
[3:00:29] kiri_saka: 謎の衛星ウナギだったのもう懐かしいな
[3:00:33] 無知無知で叡智: 誰が来るかな
[3:00:56] darksworks: カイオペアだああああああああ
[3:01:42] legitfroggy: ポーションがぶ飲み草
[3:02:03] kiri_saka: カスタムでAIいっぱいにするとタワーの射程円とか見れなかったっけ
[3:02:15] 無知無知で叡智: ガンク
[3:02:22] sabatarou: ベースと往復し得でござ
[3:02:30] きゅべりあさん: カスタムのタワー範囲は設定から表示できる
[3:02:54] 無知無知で叡智: あぶねw
[3:02:58] Applol_: カシオペア強いw
[3:03:11] muto_6: 結構ガンガンくるなｗ
[3:03:25] レイムゥ: プレッシャーあるなAI
[3:03:25] darksworks: こう見ると中級AI結構強いな
[3:03:38] 無知無知で叡智: AIあんまりリコールしないイメージ、アイテム買うと難易度下がる
[3:05:16] sabatarou: ピンだしながら説明したほうがわかりやすいかも
[3:05:48] muto_6: メイジのCS最初むずいよなあ
[3:07:10] Zeraniumu: なんかすごい音聞こえてくるの草
