[0:00:36] ブタ麺うますぎ: たぬきおじゃ tanukiGoja
[0:00:41] kouineman: Kreygasm
[4:52:11] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[4:52:24] と0てノ: ボリはジャングルきついの？
[4:52:37] すみれいろ: ヴェインするよ
[4:52:41] Kiri_1111: クインからウディアまで
[4:52:42] FNOXON: 熊とワニやってた
[4:52:52] ぱと_らっしゅ: ヴェインだしてきそ～らいさま
[4:53:03] ゆるし: TOPで使えないチャンプ思いつかない
[4:56:23] sacchanw2: らい様チームはtopjgで破壊してくるやろうなー
[4:56:29] 鈴鹿サキ: 初心者だけどzaktopめっちゃ強い
[5:00:38] tomatoma19: タリヤぶっ壊れらしいね
[5:01:38] すみれいろ: なふぃり強いんです？
[5:01:51] nigakikagin: 葛葉が迷走しまくってmidノーチラス出すかもしれないからな
[5:02:00] apororon: 犬がいてQ当たらないの草だ
[5:02:12] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[5:02:22] Kiri_1111: 去年のmsiだからちょうど1年前くらいに出てた
[5:02:48] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[5:04:39] renminl: カイーサどんなもんですか？
[5:05:14] sacchanw2: このキャラ強すぎだろ
[5:05:16] と0てノ: ｗｗｗｗ
[5:05:17] jorrysz: そこまでは言ってないw
[5:05:20] ぱと_らっしゅ: PopNemo
[5:07:36] mikke_mike: w
[5:08:16] nigakikagin: ザックって意味わからんｗ
[5:08:31] tttaso: トップで1番強いのにんにん？
[5:09:06] ぱと_らっしゅ: レートはたぬき、期待値はらいじんかな
[5:09:24] と0てノ: チームだとらいさまコールもするからな
[5:09:38] mikke_mike: やってること終わってる
[5:09:47] ぱと_らっしゅ: まじがｗ
[5:09:49] jorrysz: いや勝つんかい
[5:09:50] welldoneman1: 犬いなすの上手いね
[5:09:51] あんゆい: 勝ったｗ
[5:09:53] sacchanw2: このきゃらww
[5:09:56] ricemusi: 嘘みたいなチャンプ
[5:09:59] と0てノ: 悪い笑い出てるなあｗ
[5:09:59] tabascoo7: は？
[5:09:59] nigakikagin: ボチカは厄介そう
[5:10:00] u_hia: これで勝てるのバグだろ
[5:10:02] welldoneman1: これってカウンターだったりするのかね
[5:10:24] chabudaisanta: ダメージいかつ
[5:10:42] と0てノ: ｗｗｗｗｗ
[5:10:45] mikke_mike: ちっさ
[5:10:50] welldoneman1: さよならでござｗ
[5:10:54] si794: このチャンプつよすぎだろ
[5:11:56] jorrysz: つよ
[5:12:05] nigakikagin: なんだこのチャンプｗ
[5:12:09] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[5:12:19] mikke_mike: パッシブ落ちてないのやばすぎ
[5:12:41] tomatoma19: ｗｗｗ
[5:13:05] si794: 忍者が全部壊してる
[5:13:36] ぱと_らっしゅ: たぬき忍者被害者の会できちまうよ...w
[5:15:48] ぱと_らっしゅ: ARAMきちゃ
[5:16:40] と0てノ: あまりにもダメージがないｗ
[5:16:43] イヌの中のいぬ: ez?
[5:17:15] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[5:18:11] nigakikagin: ｗ
[5:20:10] すみれいろ: あうとプレイがすごい
[5:20:21] ぱと_らっしゅ: つよＥ
[5:20:31] kippu2525: チームが息を吹き返してきた
[5:20:45] イヌの中のいぬ: ナフィーリだと倒せんなｗ
[5:20:55] mikke_mike: フレックス行けるのがいいね
[5:21:21] selzt93147: メタ的にいじめられそう
[5:21:23] nigakikagin: そういえば最近topばっかり見るな
[5:21:36] mikke_mike: w
[5:22:57] と0てノ: ｗ
[5:23:17] すみれいろ: 本が厚く
[5:23:26] mikke_mike: でっか
[5:23:35] 筑波119: このチームどこを後出しするんだろ
[5:23:35] すみれいろ: 25分フルビルド！？
[5:23:37] 鈴鹿サキ: ビサージュじゃないんだ
[5:24:10] 810baymax: ほんとでござるか～？
[5:25:27] と0てノ: 人狼か
[5:25:28] msb338: 人狼黒めに見てます
[5:25:43] あんゆい: ザックでっか
[5:25:46] nigakikagin: 無敵じゃんｗ
[5:25:50] ぱと_らっしゅ: ｗ
[5:26:06] 810baymax: だまげ
[5:26:11] nukmor: 伝説のたぬきスライム
[5:26:36] と0てノ: これは白か
[5:26:42] 桜守: GG
[5:26:49] レティツィア: たぬきが強すぎて
[5:26:59] si794: ちょっとねぇ
[5:26:59] kippu2525: 浮沈艦ザック
[5:27:01] si794: 忍者がねぇ
[5:27:43] らいくら: ナフィーリです。対ありでした。
[5:27:49] かりあす: おじゃ。レクサイどしたら救えますか
[5:28:03] すみれいろ: ｗｗｗ
[5:28:09] たぬき忍者: @らいくら 対あり～
[5:28:48] ほいち: upsetってだあれ
[5:28:50] らいくら: チャレンジャーと当たるとこなんてなかったので良い経験でした!
[5:29:01] らいくら: ありがとうございました！
[5:29:15] nigakikagin: それはそう
[5:29:21] すみれいろ: 24分な？！
[5:29:53] msb338: !member
[5:29:53] Nightbot: たかやスペシャル よいっち たかぎ君 ありけん たぬき
[5:30:03] mikke_mike: ザックは殴り合い強い対面来たらアナセマ積めばいいだけなのも終わってる
[5:31:18] と0てノ: それはそうだ
[5:31:33] すみれいろ: クイックフルパ勢寝たか
[5:32:16] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[5:33:01] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[5:33:28] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[5:33:43] すみれいろ: ドラケン2本って圧あるなあ
[5:36:07] 810baymax: 回復やばいな
[5:36:18] と0てノ: やばいねｗ
[5:36:26] ぱと_らっしゅ: レーンつえ
[5:36:42] ぱと_らっしゅ: おー
[5:36:43] インペリアルデグー: BibleThump
[5:36:43] すみれいろ: やりおる
[5:36:47] si794: しなぁ
[5:36:55] si794: たぶんまわれてない
[5:37:00] si794: 3だぞｗ
[5:38:26] si794: グラガスロラリティクス一番上にいます
[5:41:19] chabudaisanta: グラのがウルトはやいんやね
[5:41:27] conpacuto: グラガスカウンターってわかったのでかいな、象先輩使ってきそうだし
[5:41:52] chabudaisanta: それとも至高の分かな
[5:43:45] uniuniuuuuni: グラガス側E先打ちしちゃだめか
[5:43:47] 天パマン: なんか強いな
[5:44:34] conpacuto: 阻害がえらい
[5:45:06] mikke_mike: これ結局主導権ザックにあるし本当にカウンターか怪しくね？
[5:45:16] tomatoma19: このマッチアップくだらないよね
[5:46:12] と0てノ: 古のタンクトップだ
[5:46:20] drfunkmama: グラガスミリの相手をやりきるの結構やりずらいんだよな
[5:46:36] conpacuto: ナイスキック
[5:46:39] すみれいろ: うますぎか
[5:46:44] selzt93147: グラガスがイグナイト積まないことには負けなさそう
[5:46:50] conpacuto: ｗ
[5:47:04] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[5:47:42] tomatoma19: ぽぴまさ育つのなんかじゃない？
[5:47:48] conpacuto: ＭＩＤカルマ本当にしょうもない
[5:48:56] conpacuto: 悲しい
[5:49:01] conpacuto: ばいばい；；
[5:49:04] と0てノ: ｗｗｗｗｗｗ
[5:49:24] すみれいろ: ｗｗｗｗ
[5:50:24] koutyan00: w
[5:50:46] おーらいん: 統計だとザック対グラガス55%だったわ
[5:51:46] conpacuto: 詰んでるわｗ
[5:51:53] conpacuto: はいｗ
[5:51:59] nigakikagin: ｗ
[5:52:13] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[5:52:21] 鈴鹿サキ: 早期は4
[5:52:23] おじゃるまる: 早期降参は4票
[5:52:53] かずのこマ: ｗｗｗｗｗｗ
[5:53:51] ぱと_らっしゅ: ザックのハードカウンター、シンジドみたいね
[5:54:22] ぱと_らっしゅ: 審議が
[5:54:33] ほいち: VC以外のメンツおしえてください
[5:54:40] kyoto54: https://clips.twitch.tv/SecretiveSpunkyMeerkatVoteNay-cGodmEWzUyIhfIqQ
[5:54:42] たぬき忍者: リスナー
[5:54:56] ほいち: なるほど
[5:55:09] tomatoma19: ｗｗｗ
[5:55:14] ぱと_らっしゅ: ｗ
[5:55:33] conpacuto: カルマサイラスの時だけ発生するバグ！これは、致命的だ！！ｗ
[5:55:45] conpacuto: 実際０ダメージなんだな
[5:55:49] と0てノ: これえぐいな
[5:56:03] ゆるし: グローバルBAN！グローバルBAN！
[5:56:09] ぱと_らっしゅ: 都合のいいゴザル
[5:56:27] conpacuto: カルマにはサイラス出せないでござる
[5:56:36] mikke_mike: あまりにも弱すぎるR
[5:57:06] conpacuto: ｗｗｗ
[5:57:19] ぱと_らっしゅ: ＲＩＰ ＴＯＰカルマ
[5:57:20] conpacuto: 何でもあり、番外戦術スタート！
[5:57:23] anagramy: グロバンはいいけど自分のプールにないから声大きくなるのなんか残念だ
[5:57:27] tomatoma19: 基礎ダメージより低くないか？
[5:58:53] mikke_mike: ラカンサイラスリーシンザック 終わってたな
[5:59:40] ぱと_らっしゅ: つぎはなーんだ
[5:59:54] Kiri_1111: yomuさんヴィエゴかグレイブスやってるイメージしかない
[6:01:35] と0てノ: そう？
[6:01:53] ゆるし: 最初と最後の文字しか合ってない
[6:01:53] tomatoma19: そ、そっか＾＾；
[6:02:01] dorujichan: しぁぬる
[6:02:05] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[6:02:35] tomatoma19: たぬきのナーうまそう
[6:02:41] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[6:03:48] dorujichan: ぽろぽろ
[6:04:10] amakusa3065: CS BibleThump
[6:04:15] Kiri_1111: ぷんすこ
[6:05:44] amakusa3065: ｗ
[6:07:41] と0てノ: ブランブルマジか
[6:08:30] amakusa3065: レンジこそ正義
[6:10:58] nukmor: tanukiTanu
[6:11:01] amakusa3065: ギスギス
[6:11:02] msb338: ｷﾞｽｷﾞｽｗ
[6:11:04] おおかみさん: ｗ
[6:11:24] おおかみさん: あ
[6:11:29] カニタ: w
[6:11:34] ぱと_らっしゅ: ぽぴつら；；
[6:12:06] msb338: ｗｗｗ
[6:12:14] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[6:12:17] amakusa3065: つまりjggapでござ
[6:13:02] ぱと_らっしゅ: つよ～
[6:13:07] amakusa3065: LUL LUL LUL LUL
[6:13:26] mikke_mike: ww
[6:16:02] おおかみさん: 本当でござるか～？
[6:17:16] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[6:17:24] amakusa3065: ｗ
[6:18:21] amakusa3065: なんだこいつ！？
[6:18:46] msb338: ｗｗｗ
[6:18:52] おおかみさん: たぬき討伐部隊！
[6:18:52] ゆるし: www
[6:20:51] ぱと_らっしゅ: やれるもんだね
[6:21:13] と0てノ: へー
[6:21:13] ぽんでりん: 実は防御貫通枠です
[6:21:42] amakusa3065: 今のLOL何と何が一緒に積めないのかわかりにくいよマークスマンは
[6:24:03] mohohohoooooo: ｗ
[6:24:05] amakusa3065: ｗ
[6:24:06] msb338: LUL
[6:24:08] sirasu_gg: LUL
[6:24:17] おおかみさん: 部活の先輩？
[6:25:16] と0てノ: あ
[6:25:26] ぱと_らっしゅ: 爆散
[6:27:37] と0てノ: ｗ
[6:27:40] Salad_Cola: 唐突なEviくん
[6:28:17] と0てノ: わかるｗ
[6:29:45] kukkuda: キンドハリケーン欲しくないか
[6:30:02] kukkuda: 気づいてなくて草
[6:30:23] かずのこマ: LUL
[6:30:24] msb338: www
[6:30:31] 810baymax: 不仲出ました
[6:30:32] おおかみさん: アァー！
[6:30:44] kukkuda: あれバロンバフは？
[6:32:14] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[6:32:26] msb338: Ult mia
[6:32:30] nukmor: 霊的なオーブのやつね
[6:32:56] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[6:33:13] kukkuda: スタックたまりまくってるからか？
[6:33:24] kukkuda: なんかいて草
[6:33:25] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[6:34:10] kukkuda: 今のヘイルｴｺｰバカみたいな速度でパッシブ出る
[6:35:17] PlooonN: 短くて細いウルトマジで当たらん
[6:36:54] ぱと_らっしゅ: ナーの感触は
[6:37:06] ぱと_らっしゅ: ｗ
[6:37:10] msb338: ん？
[6:37:16] Kiri_1111: ニヤニヤ
[6:37:21] balut099: TOPレク＝サイ
[6:37:26] 夜雲君: tfは使うの？フレックスでbpクソ強そうだけど
[6:37:49] ぽんでりん: トロールの時間だあーっ！
[6:38:00] ギガナー: オラフ
[6:38:14] ぱと_らっしゅ: 毒ハゲ
[6:38:23] ぱと_らっしゅ: ｗ
[6:38:27] saeki0530: ダリウス
[6:38:40] 810baymax: 負けてても仕事できるんだよね
[6:39:08] roserer: 普通に勝てるし負けても笑顔になれる素晴らしいチャンプ
[6:39:30] yuurisan1225: 後半のスケール自体はバフされたんだけどね リーサルテンポ
[6:40:11] Salad_Cola: ｗｗｗｗｗｗｗｗｗｗｗ
[6:40:20] ぽんでりん: うおおおバトルヒーリングスキルだあ
[6:41:13] ぱと_らっしゅ: ナーフ後アゴ？
[6:41:37] ぱと_らっしゅ: w
[6:43:53] oioio795lol: nemesisとかmidスモルダー18分でスタックためきってたよ
[6:44:03] utahahh: これDay1Week誘われ待ちしてない？ずっとこっちを見ているような気配を感じる。
[6:44:29] 五城: tanukiGoja
[6:44:33] ぱと_らっしゅ: tanukiWakaru tanukiWakaru
[6:45:29] もうちょい: AOEw
[6:46:36] 810baymax: 寝る必要ある？
[6:46:39] rarassyu: スマッシュなんとか
[6:46:41] tuffy_a: たぬきに彼女？
[6:46:42] ぱと_らっしゅ: 収録かしら
[6:46:47] 五城: はいどーも
[6:47:06] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[6:47:11] mohohohoooooo: ｗｗ
[6:47:44] tuffy_a: スタさんエメ1まで上がってきてるよ
[6:49:33] ぱと_らっしゅ: くず...
[6:49:57] あきじょ: くーちゃん
[6:50:06] catless: ござ
[6:52:07] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[6:54:26] nukmor: tanukiTanu
[6:54:29] hex65535: BibleThump
[6:57:45] TOTO02541: tanukiGoja
[6:58:28] インペリアルデグー: ギガナーだ
[6:59:14] yamada0421: ノーマルで彗星じゃないエイトロでナーはきつめ？
[7:00:07] tUfUuUuUuU: すばらキルライン
[7:00:23] ぱと_らっしゅ: うまいナーだなー
[7:01:07] TOTO02541: top辛め
[7:02:18] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[7:02:49] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[7:13:04] AquaVit_07: 陣営別オフセットですか？
[7:14:04] sirasu_gg: スモつええええ
[7:16:44] sirasu_gg: Kreygasm Kreygasm Kreygasm
[7:16:50] mohohohoooooo: つええ
[7:17:01] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[7:17:28] まつよい: kata出すなら葛葉しかいない
[7:17:39] aisakatooru: 正直ミッドたぬきさんのほうが絶対よくない？
[7:17:57] どらぢぃ: ポジションは決まってるよ
[7:18:08] mohohohoooooo: ｗ
[7:18:25] sirasu_gg: LUL
[7:18:54] ini4649: これまずいw
[7:19:35] mohohohoooooo: eyesさんのマクロでいくのかな
[7:20:07] ぱと_らっしゅ: 勝ちすぎても怖いし負けが嵩むのも嫌よね
[7:20:40] どらぢぃ: ここはつえーやろなぁ
[7:21:38] 火星の猫: 責任はすべてmid
[7:21:45] Kiri_1111: くたばれmid
[7:21:50] mohohohoooooo: UGのチームえぐいよ・・
[7:21:57] ぽんでりん: あ
[7:22:02] 五城: 葛葉のうるかピック理由の一つがこういう機会ないとうるかと組めないだったし
[7:22:27] simneeto: フラグ職人お疲れ様です！
[7:23:10] デレステの民: おはようございます
[7:23:22] balut099: 4からの4でおかしいだろピック順
[7:23:37] トゥルーショットこどおじ: UGの受け答えが雑で笑ってまう
[7:24:08] どらぢぃ: ミッド崩れなきゃ負ける未来見えない
[7:25:32] kaminotamago: サポ先の可能性はある
[7:25:38] インペリアルデグー: ピック順だけでも教えてほしいｗ
[7:25:54] mohohohoooooo: 一応ドラフトの録画データ損失したんだっけ
[7:25:55] どらぢぃ: よむは余ってたって言ってたね
[7:26:04] balut099: ノーベル賞かよ
[7:26:06] inaaturuf: モザイクありの文字起こしだけでいいから、うpされないかなぁ
[7:26:42] インペリアルデグー: 見たいｗ
[7:27:00] balut099: 増永校長
[7:27:28] balut099: ピック順とメンツ見たらある程度割れそうじゃない？
[7:28:30] mohohohoooooo: たぬきさんのチーム各ロール1stpickって言われても普通レベル
[7:28:55] balut099: 読み合いしてた
[7:28:59] mohohohoooooo: ｗｗｗｗ
[7:29:00] もうちょい: ｗｗｗｗ
[7:29:51] inaaturuf: wwwwwwww
[7:29:54] mohohohoooooo: いっちゃった
[7:29:56] インペリアルデグー: 忍者のチームは誰が指揮取るかで揉めなきゃ勝つだろって感じ
[7:30:08] どらぢぃ: いうかよw
[7:30:28] balut099: いつものソロ活
[7:30:57] ぽんでりん: たかやのとこしゃるさんが絶対君主なのがいい たかやの操作できれば
[7:30:57] sirasu_gg: WutFace WutFace WutFace
[7:31:03] あきじょ: あまりにもソロQ
[7:31:21] インペリアルデグー: 象先輩の劣化感が強い
[7:31:26] 五城: マルファイトでもスプリットすると噂の…
[7:31:38] どらぢぃ: 実はゾウ先輩くそ強いよな
[7:31:56] kai_haguki: こことスタのチームが2強だね
[7:32:02] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[7:32:40] ぽんでりん: 葛葉がmidで破壊する道がまだあるか
[7:32:46] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[7:32:59] balut099: よむさんレートどんなもん？
[7:33:08] インペリアルデグー: リクルートくん今日ダイア云ってた
[7:33:15] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[7:33:29] mohohohoooooo: ｗ
[7:33:31] ぽんでりん: なんでダイヤでわら…w
[7:33:34] sirasu_gg: LUL
[7:33:40] インペリアルデグー: LUL
[7:33:50] kyoto54: ｗｗｗｗ
[7:33:54] kaminotamago: ｗ
[7:34:14] balut099: なんであんなに上下するんだ？
[7:34:20] kyoto54: 筋力ありそうだし脳みそをしゃるるで補完すれば強そう
[7:34:28] mohohohoooooo: ｗｗｗ
[7:34:34] どらぢぃ: たかやは６割コメントに脳使ってる
[7:34:38] sirasu_gg: NotLikeThis NotLikeThis NotLikeThis
[7:34:56] mohohohoooooo: たかちゃんにぶっ刺さる
[7:35:56] sinma001: いっぱい死んだし今回はリミットテスト回にするかー、みたいなのり
[7:36:25] ぱと_らっしゅ: w
[7:36:51] どらぢぃ: ちなみによむもやるよ
[7:36:53] 夜雲君: もともと高レートと上がってきたひとがたぶつかるレードだからしょうがない説はありそう。エメラルドは
[7:37:10] balut099: 媒介者と化してる
[7:37:30] ぱと_らっしゅ: tanukiSyuriken
[7:37:37] sinma001: あるあるだからこまる
[7:37:40] もうちょい: マジでlolの話しない
[7:37:42] mik4zuchi: www
[7:37:45] 夜雲君: ゼロストぜきおこです。
[7:38:07] sinma001: でもしゃる３コールしたくねえって言ってたぞ
[7:38:15] hinagiku1017: みんなしゃるるに従いそうなチームではある
[7:38:18] yamada0421: 一応元プロ志望だし
[7:38:20] ぽんでりん: ぼちかたかやじゃすを従える王増永
[7:38:22] インペリアルデグー: しゃるるから逃げなかったのは偉い
[7:38:24] balut099: 自分の弱みを意識したピックだ
[7:38:56] 夜雲君: わたねこさんか？
[7:39:07] sinma001: LJLキャスターのコールで動きたいって言ってたぞ
[7:39:18] tuffy_a: コールは1番上が強そう
[7:39:48] hinagiku1017: 7h時代のフィオラ
[7:40:02] ぽんでりん: らいじん、お前はイラオイをやれ
[7:40:08] どらぢぃ: コールしてて勝てる対面じゃない
[7:40:28] アルファ77: プロの中イキ
[7:40:41] amakusa3065: 高レートのマクロ会議好き
[7:40:53] ぱと_らっしゅ: はちゃめちゃコーチングで化けたとは噂だが
[7:41:19] balut099: MIDJG葛葉あやしそー
[7:41:42] hinagiku1017: セロスもふわふわしてそう
[7:41:49] 夜雲君: 葛葉が自我いつ消せるかじゃないか？w
[7:41:58] roserer: シャドウアイルは顔がいい
[7:42:04] balut099: スタゼロはもう師弟関係できてたしどうにかなりそう
[7:42:19] amakusa3065: ｗ
[7:42:27] 夜雲君: リクルートさんじゃない？
[7:42:46] tuffy_a: 葛葉のチーム、midjgもadsupもあまり絡みない2人なの不安
[7:43:11] 夜雲君: じゃすも仕上げればくいつける？デイワンさんとゼロストに
[7:43:15] amakusa3065: たかちゃんは運転手いれば乗り物として優秀
[7:43:36] ぱと_らっしゅ: w
[7:43:42] ぽんでりん: 頑なにグローバルBANしたいの草
[7:43:44] balut099: ADCでもあるからほぼ消えるだろうな
[7:44:00] sirasu_gg: たわけたダメージ
[7:44:05] tuffy_a: スタめっちゃやる気でランク回してる
[7:44:32] ぽんでりん: RaccAttack こいつはRボタンじゃないでござ！
[7:44:50] ぱと_らっしゅ: 全てのヘイトがmidに
[7:45:03] amakusa3065: いーーーや増永が全ての責任を押し付けられるね
[7:45:24] yakisobaboys: スタンミのOPGGが、凄いことになっている
[7:46:21] 夜雲君: キャスターの方々がいそがいしからじゃない？
[7:46:26] balut099: 使用感確かめたい
[7:46:48] Kiri_1111: 上4人見て一番練習できそうなのもおもろい
[7:46:58] yakisobaboys: アイズさんが27ダメなんだっけ？
[7:47:05] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[7:47:13] 夜雲君: キャスターの人がどのくらい時間取れるかじゃない？
[7:47:13] もうちょい: キャスターは今週からプレイオフだからな
[7:47:42] azarashi_ft: 葛葉のチームが一番忙しそうなのも面白い
[7:47:44] 夜雲君: あのひとは働き過ぎや
[7:47:59] ぱと_らっしゅ: 大熊時代
[7:48:04] Kiri_1111: らいさまちょっと熊好きだよね
[7:48:04] hinagiku1017: モリっと回復する
[7:48:06] ぽんでりん: らいさま動画見てたから
[7:48:06] roserer: リワークきたときもずっとクマやってた
[7:48:18] と0てノ: やってたね
[7:48:18] sinma001: あったなあｗ
[7:48:23] balut099: 終わりなき絶望の熊割とおもろい
[7:49:13] ぱと_らっしゅ: 探偵w
[7:49:39] balut099: ムンドとザック擦れって動画出してたな
[7:49:45] 夜雲君: チームゲームてまadmidってやっぱり構成ってゆがみやすい？
[7:49:52] yakisobaboys: なにかはBAN漏れするなあ
[7:49:53] mikke_mike: topカルマでいじめようぜ
[7:52:15] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[7:53:17] 夜雲君: 消すならカルマよりtfじゃないの？w
[7:55:40] catless: がりすぺー
[7:56:06] ぽんでりん: ラックスウルト回しまくってウェーブプッシュ勝てるみたいなの見たけど
[7:56:18] apororon: 回るのとんでもなく早いけどレベル1種置けないと終わる
[7:56:40] balut099: てか前パッチでクリアクソ速い動画あった気がするけどザイラJG
[7:56:56] 夜雲君: supでも居場所がなくなったメイジが追いやられる場所がjgじゃね
[7:57:56] ぽんでりん: おつ〜
[7:57:57] ぱと_らっしゅ: おつ〜
[7:58:01] amakusa3065: tanukiBaibai tanukiBaibai
[7:58:01] と0てノ: おつおつ
[7:58:07] 五城: おつ tanukiWakaru
[7:58:10] もうちょい: おつ
[7:58:15] catless: おつ
