[0:01:13] Fred_worth: れおな？
[3:14:45] hal_1ch: ROAできたら結構良さそうだけど
[3:14:48] konamin_: ｗｗｗｗｗｗｗｗｗ
[3:14:51] tonnura3280: DinoDance DinoDance DinoDance
[3:14:57] pirosue_: うろうろｗｗｗ
[3:14:59] simneeto: とらーいあげーいん！
[3:15:03] n4shvill3: サバイバルカサディンならず
[3:15:14] ユッケリオン: 多分押そうとしてワードうつったんじゃね
[3:15:21] くしち: DJ CHAA
[3:15:38] pirosue_: 大してCC無いし捕まらんよ
[3:15:46] nekoneko11223: なんで彼女BOTにいるんだ
[3:15:52] tuari_lol: unkochanYaa unkochanYaa
[3:15:56] Ellukr: ご飯探すカサディン
[3:15:57] acpdata: 戦闘起こりそうならウルト貯めとかないと全くダメージ出ないよ
[3:16:18] asasa12312: まあまあ
[3:16:27] hal_1ch: あと3分必要だ
[3:16:47] human0999999: マリグナンスは持たないの？
[3:17:10] simneeto: ファーストストライク1回でも発動した？
[3:17:18] Ellukr: 見方が壊すのが先かこっちが育つのが先かの勝負ｗ
[3:17:33] ユッケリオン: 一生殴られてたｗｗ
[3:17:36] acpdata: あんまり活躍してないかもｗ
[3:17:38] calbee_7: 楽しそうに試合しますね
[3:17:39] 仮名です: MFだったか
[3:17:40] はいむみー: もっとR回したほうがいいかも
[3:17:43] gyahahahaw: もっとRためて
[3:17:43] asasa12312: ＭＦにいつＲするのかなと
[3:17:46] げりっぴ: いけたな
[3:17:47] hal_1ch: MF弱くね？w
[3:17:50] はいむみー: Rの体当たりが一番ダメージ出る
[3:18:02] hal_1ch: クラーケンMFで草
[3:18:03] pirosue_: R溜めてたら行けたね
[3:18:12] はいむみー: インアウト繰り返すキャラだよ
[3:18:14] めい256: Rがメインまである
[3:18:14] plutor: 今度一回ワンコンたたいてみよ
[3:18:30] acpdata: ｆｌａｓｈもあるし
[3:18:38] はいむみー: ラプター側とか使ってインアウトする
[3:18:40] pirosue_: Fあったしチャレンジして良かったよ
[3:18:46] hal_1ch: そもそも魔力まだ213しかない
[3:18:51] tuari_lol: vioBOUNCE vioBOUNCE
[3:18:58] asasa12312: まだ赤ちゃん
[3:19:20] nekoneko11223: おー
[3:19:21] ぱきお: いいぞ～
[3:19:29] simneeto: なんか無視されてたｗ
[3:19:34] asasa12312: qにサイレンスついてるからMFウルト消せる
[3:19:42] acpdata: MFにQかけてウルト解除できるよ
[3:19:44] pirosue_: 後1
[3:19:46] rikakei: なんかどたばたしてた
[3:19:50] renminl: 俺には早すぎて見えなかったよ
[3:20:00] 仮名です: daemon time
[3:20:18] pirosue_: EZ
[3:20:19] ぱきお: ｗｗ
[3:20:22] nekoneko11223: この逃げ性能である
[3:20:25] しがない一般男性: 逃げる逃げるw
[3:20:28] はいむみー: これがカサディンなんです
[3:20:29] pirosue_: そうね
[3:20:34] Ellukr: かさかさ
[3:20:41] hal_1ch: マリグナンスできたら打ち放題よ
[3:20:41] asasa12312: マナ多すぎだろ
[3:20:50] plutor: ｶｻｶｻｶｻｶｻ
[3:21:02] asasa12312: いいよ
[3:21:05] はいむみー: 余裕で殺せる
[3:21:08] ぱきお: うほおお
[3:21:12] Ellukr: かさかさかさ
[3:21:12] しがない一般男性: あびゃぁ～
[3:21:12] catless: うおおおおお
[3:21:15] hal_1ch: え？
[3:21:16] パトリオット11037: つよw
[3:21:17] pirosue_: あの猫バカ過ぎる
[3:21:17] めい256: きたああああ
[3:21:18] calbee_7: きもちいい
[3:21:18] plutor: 楽しい時間はじまっちゃった
[3:21:18] renminl: 味方ありがと〜ww
[3:21:22] asasa12312: ここからプレイしたい
[3:21:40] acpdata: あともうちょいで１６
[3:21:50] 仮名です: レンガーレベル低すぎてかわいそう
[3:21:54] Ellukr: 一杯ご飯食べたかいがでた
[3:21:55] renminl: お、おぎゃ〜w
[3:21:56] ニボシ: 世界にカサディンが生まれた日
[3:22:17] ぱきお: 生まれた
[3:22:20] asasa12312: 成ったな
[3:22:21] はいむみー: 16うおお
[3:22:23] pirosue_: 成ったな
[3:22:27] hal_1ch: だえもんタイム
[3:22:29] akmgorori: うおおお
[3:22:30] 雲丹: デーモンタイム
[3:22:36] Ellukr: ｗ
[3:22:37] めい256: だもんたいむきちゃ
[3:22:40] とろきりで: DAEMONTIME
[3:22:44] はいむみー: 一生サイド押す
[3:22:58] pirosue_: 負ける事はないよ
[3:23:06] simneeto: ムンどは無理だろうな死にはしないけど
[3:23:08] はいむみー: 逃げられるから別に気にしないでいい
[3:23:17] aiuezaurusu: 死なないし殺せない気がする
[3:23:32] asasa12312: そこにあるじゃん
[3:24:02] pirosue_: 近すぎｗｗｗ
[3:24:06] SoLA_tw: カサディンってマリグナンスは無しなんですか？
[3:24:07] 雲丹: 流石に硬い
[3:24:08] simneeto: あいつはむりだｗ
[3:24:09] しがない一般男性: MF火力なさすぎだろ
[3:24:10] ぱきお: ｗｗｗｗｗｗ
[3:24:17] Ellukr: とんだｗ
[3:24:18] hal_1ch: バーストえっぐ
[3:24:19] hal_1ch: m
[3:24:38] pirosue_: 自分の強さに気付いたか？
[3:24:50] 仮名です: さすがにムンド硬い
[3:25:00] asasa12312: 背負わせちまった
[3:25:03] まっくそお: 無理してる時は、僕とお話しませんか？
[3:25:03] ブエノスディアス: 重症だれ積んでる？
[3:25:06] しがない一般男性: 私がいながら無理していませんか？
[3:25:09] Ellukr: これからは私が引き受けますこの試合
[3:25:23] Ellukr: あ
[3:25:30] SoLA_tw: あ
[3:25:36] asasa12312: お手軽チャンプではないかも
[3:25:44] calbee_7: あやしくなってきましたよ
[3:25:45] rikakei: いけみたいな顔は全員してた
[3:25:45] agja3jm: 人いすぎた
[3:25:51] Ellukr: ここまで我慢したから行かせろ！
[3:25:52] asasa12312: みんな期待してた
[3:25:53] ユッケリオン: 行くにしてもMFかレンガーかも
[3:25:55] まっくそお: 全員手上げずにこっちみてた
[3:25:56] gumpaste1: あくまでもアサシンだから
[3:25:56] SoLA_tw: まぁレンガー殺してくれみたいな顔はしてた
[3:25:56] konamin_: ｗｗｗｗｗｗ
[3:26:02] ニボシ: 正面からはきつい
[3:26:29] はいむみー: 命かけるドラじゃないから別にギブでよかったと思う
[3:27:01] konamin_: ディンつんよｗｗｗｗｗｗｗｗｗ
[3:27:10] konamin_: このままたたかったらまずいｗｗｗｗ
[3:27:18] konamin_: つよすぎｗｗｗｗｗｗｗｗｗｗ
[3:27:20] asasa12312: 楽しい？
[3:27:22] パトリオット11037: 消えた...w
[3:27:23] まっくそお: ディンゲート開いたあああああ
[3:27:28] Ellukr: Ｒぽちぽち
[3:27:34] calbee_7: バカチャンピオンだ
[3:27:37] renminl: ポチポチ〜w
[3:27:55] tuari_lol: unkochanKingdom unkochanKingdom unkochanKingdom unkochanKingdom
[3:27:57] pirosue_: シャドフレ欲しいなぁ
[3:28:00] konamin_: でも頑張って耐えたから…
[3:28:04] めい256: デーモンだからね
[3:28:04] Ellukr: かさかさした￥
[3:28:19] まっくそお: 対面ブラッドだったからｗ
[3:28:21] asasa12312: 相手が優しかった
[3:28:22] ユッケリオン: これはピック勝ちしてる
[3:28:25] renminl: 味方が勝手に勝ってた〜w
[3:28:26] konamin_: それは対面がわるいｗ
[3:28:27] しがない一般男性: あーあー
[3:28:31] konamin_: ｗｗｗｗｗｗｗｗｗｗ
[3:28:34] Ellukr: あ
[3:28:38] くしち: なろう系おぼ
[3:28:41] renminl: ダリウスさんあざーすw
[3:28:46] konamin_: レンガー相手なのにｗｗｗｗ
[3:28:48] calbee_7: あとjgが対マン強いチャンピオンだったのもよかったのかも
[3:28:50] SoLA_tw: レンガー笑
[3:28:52] まっくそお: このHP差でフラッシュせざるを得ないレンガー
[3:29:35] ぱきお: おおお
[3:29:38] しがない一般男性: 最強だw
[3:29:42] めい256: w
[3:29:49] asasa12312: たのし～
[3:29:50] まっくそお: うおおｗ
[3:29:51] Ellukr: Ｒおすだけ
[3:29:56] SoLA_tw: ムンドかてえw
[3:29:57] ボン太郎: GG
[3:29:58] akmgorori: gg
[3:30:02] げりっぴ: 味方ごついのばっか
[3:30:06] konamin_: やっぱディンってわけ
[3:30:09] ぱきお: ベタ足ADCなすすべなし
[3:30:22] ユッケリオン: これ味方も全員で入っていくから楽でいいね
[3:30:27] asasa12312: この相手にマークスマンやりたくねえ
[3:30:29] SoLA_tw: まぁ序盤やることないし多少はね
[3:30:30] renminl: ダリウス様様
[3:30:30] ニボシ: マリグナンスとかいうアルティメットの回転とマナをくれるアホアイテムが悪い
[3:30:32] rikakei: ただmidなにつかってもかってそうな試合ではある
[3:30:33] めい256: 信じてくれた
[3:30:35] 仮名です: レンガーが味方だったら終わってたか
[3:30:35] はいむみー: jg上手かったのと対面ブラッドがね
[3:30:36] konamin_: ディンでセナとかスモルダーひき殺すのは実際おもろい
[3:30:40] pirosue_: ダリウスだから迷惑かからずに行けたわな
[3:30:45] gumpaste1: アイテムのせいで定期的に壊れるカサディンさん
[3:30:48] まっくそお: マリグナンスカサ初めてやってる側見たけどRのCDイカれてら
[3:30:48] Nujages: obosanOi obosanSu
[3:30:55] simneeto: おぼも寄り良かったからダリウス羽ばたいたよ
[3:31:08] SoLA_tw: ブラッドにスケール勝ちできるの熱い
[3:31:10] konamin_: ｗｗｗｗｗｗｗ
[3:31:14] calbee_7: www
[3:31:17] konamin_: 無名階層やめてｗｗｗｗｗｗ
[3:31:19] asasa12312: シルエットねｗ
[3:31:25] tak1on_: 実質パチか
[3:31:33] asasa12312: 赤じゃないといかん
[3:31:34] plutor: ｗｗｗ
[3:32:00] ニボシ: スマスロカサディン
[3:32:02] konamin_: レートゲームになればなるほどディンはおもろいよなぁ
[3:32:09] simneeto: lp幾らもらえた？
[3:32:27] Ellukr: おぼさん一番好きなチャンピオンなんですか
[3:33:02] pirosue_: 普通にチャンピオン自体カッコいいしな
[3:33:07] SoLA_tw: ヨネも強くはあるんですけどね
[3:33:07] plutor: ヨネは過去の男ってこと…？
[3:33:13] konamin_: midvarusハマった時はクッソ気持ちいい
[3:33:15] calbee_7: 悪いひとですね
[3:33:23] Ghana_st: サイラスサイラス
[3:33:28] ニボシ: ディンじゃなくて足りるのか？
[3:33:30] konamin_: そうねｗ
[3:33:33] chikira397: むしろ昔なに使ってたんだっけおぼさん
[3:33:40] めい256: 二刀流なんてかっこいいに決まってる
[3:33:48] atomic4807: APヴァルスやろう
[3:33:50] human0999999: うなぎは？
[3:33:50] simneeto: ナフィーリつかってみようぜ
[3:33:52] konamin_: zedOTP時代なっつい
[3:33:58] はいむみー: ゼドとかやってなかった？
[3:33:58] ニボシ: マルファイトゼドのイメージ
[3:34:09] changpong: プール広いなぁ
[3:34:13] げりっぴ: じりあん
[3:34:14] ユッケリオン: あいてによる
[3:34:21] erism_520: じりあんかね
[3:34:21] はいむみー: ジリアンかな
[3:34:22] gumpaste1: かなり対面によりそう
[3:34:25] pirosue_: キツイ対面ならフェイズ
[3:34:25] asasa12312: かフェイズ
[3:34:26] 黒霧くろくま: 時計おじさん
[3:34:27] konamin_: まぁ電撃でいいんちゃうん
[3:34:27] calbee_7: ジリアンだ
[3:34:34] まっくそお: 一番使われてるのは電撃やね
[3:34:35] tak1on_: トップザックかな
[3:34:36] げりっぴ: よねかも
[3:34:39] はいむみー: ヨネだな
[3:34:40] pirosue_: 彗星でもいい
[3:34:40] calbee_7: ジリアンだよ
[3:35:07] げりっぴ: ジリアンさぽスライムトップ
[3:35:07] asasa12312: これでジリアン予想できるのすごいな
[3:35:11] calbee_7: たしかにヨネだ
[3:35:24] konamin_: どれきてもzac以外なら電撃ならひき殺せる
[3:35:26] asasa12312: ワンチャンは残ってる
[3:35:41] はいむみー: ジリアン予想はさっきまでヨネのとこソラカ見えてたからだね
[3:35:43] 黒霧くろくま: ソラカ見えたからてっきりそっちサポかと思ったら変わったわ
[3:35:48] asasa12312: なるほどね
[3:36:12] pirosue_: ミュート？
[3:36:29] pirosue_: いいよ
[3:36:33] konamin_: それでOK
[3:36:49] TimTheFatmom: BOOKAビルドいこう
[3:36:54] konamin_: 魔道なのにｗ
[3:37:02] はいむみー: キャラの左下の青いマーク押せばわかる
[3:37:03] calbee_7: だれも予想できなかったmidザックかよ
[3:37:04] しがない一般男性: kwsk
[3:37:25] konamin_: Qは相手がAAするところに投げればいいよ
[3:37:30] まっくそお: タンク相手W上げオヌヌメ
[3:37:31] atomic4807: 流石にザックが来るとは思わないやん
[3:37:32] pirosue_: ザックはスキルがHPリソースだからね
[3:37:54] ユッケリオン: E
[3:38:08] konamin_: QEW
[3:38:18] 閻魔_3: スライム踏んであげて
[3:38:33] ユッケリオン: W起動してEQAAで電撃発動
[3:38:33] SoLA_tw: ザック回復しすぎw
[3:38:34] calbee_7: Qはハラス用だからザック相手どうなん
[3:38:45] Ellukr: ｗ
[3:38:46] Nightbot: @おぼです -> A 60s commercial has been started.
[3:39:23] めい256: わあ
[3:39:25] レイムゥ: 地獄だ
[3:39:32] calbee_7: マナなかったのが響きましたね
[3:39:32] 黒霧くろくま: ワーウィック3キルはエグイ
[3:39:32] plutor: 序盤のグラガスはマナカツカツのままWで耐えるキャラなので
[3:39:46] konamin_: ｗｗｗｗｗ
[3:40:11] konamin_: なーいす
[3:40:29] konamin_: そうね
[3:40:34] pirosue_: プラス被ダメ怪訝
[3:40:39] pirosue_: 軽減
[3:40:49] ユッケリオン: 涙買ったていい
[3:41:16] pirosue_: 飲んでから2秒とか
[3:41:21] konamin_: この試合ならまだ勝てる
[3:41:30] calbee_7: 事故ったところで育っちゃったのがね
[3:41:37] SoLA_tw: さっきと打って変わってだな
[3:41:38] showwhatman: モレロの購入が急がれます
[3:41:43] Ellukr: ドラゴンの誕生を
[3:41:55] konamin_: zacが舐めてるの破片拾い放題でHP減らしてもいいって思ってるのざいね
[3:42:19] ranran545: うっま
[3:42:28] konamin_: おしい
[3:42:30] ranran545: おしい
[3:42:54] konamin_: ｗｗｗｗｗ
[3:42:55] plutor: ww
[3:42:56] しがない一般男性: ファームどうなってんだボット
[3:42:59] Ellukr: ドラゴンが誕生しないＣＳ
[3:43:00] pirosue_: 7分28CSｗｗ
[3:43:05] haro1499: 15ff れちご
[3:43:23] はいむみー: グラガス見た目によらずかなり繊細なチャンプだからね
[3:43:26] konamin_: Tの精神があるからzacじゃなければいけそうなんだけどなぁｗ
[3:43:30] marvolo6: NTということで
[3:43:50] 黒霧くろくま: レーンだけはまだいけそうワーウィックをどうしたもんか
[3:43:59] まろのすけ: p上がってるときwで適当に回復するの強いですよ
[3:44:13] Ellukr: モルデに連れ去てもらおう
[3:44:16] konamin_: W飲みのみクッソ強いからね
[3:44:18] calbee_7: cc薄いからどうやってww落とすかだよなあ
[3:44:40] konamin_: なんならこっから前と違って火力でるからね
[3:44:50] ユッケリオン: wwはスキルヘイスト積んでいっぱいおなか充てるしかない
[3:44:56] konamin_: zacになめられすぎてない？ｗ
[3:45:07] calbee_7: 回復阻害積んでもwwいるから腐らなくていいな
[3:45:08] つぶあん派関西支部: お
[3:45:10] SoLA_tw: お
[3:45:11] はいむみー: 一生同じことしてるなあのザック
[3:45:25] konamin_: 今の惜しい～ｗ
[3:45:26] SoLA_tw: モルデが
[3:45:29] akmgorori: topが
[3:45:31] plutor: グラガス使いみんないうやつ
[3:45:36] はいむみー: 弾速があるから思ってるより発動遅い
[3:45:40] 黒霧くろくま: ミニオン焼けたのでワースです
[3:45:43] ユッケリオン: TOPが世界救う顔つきしてる
[3:45:44] calbee_7: モルデが最強になってくれそう
[3:45:59] konamin_: モルデがやってる間に最強になろう
[3:46:03] chikira397: R投げるまでの時間が癖ありだよね
[3:46:12] つぶあん派関西支部: ボットいってるよ
[3:46:13] ユッケリオン: BOTにいます
[3:46:15] showwhatman: bot出張してます
[3:46:19] konamin_: プレートうますぎんだろ
[3:46:21] odaware: botでキル拾ってます
[3:46:23] calbee_7: ウェーブすててbotガンクしてました
[3:46:24] SoLA_tw: BOTで元気に飛んでました
[3:46:37] konamin_: 腐ったbotに価値なし
[3:46:45] Ellukr: ただのトカゲ
[3:46:46] human0999999: グラガスのWはタワーに与えるダメージ上がるよ
[3:46:53] konamin_: ナイス
[3:46:57] calbee_7: うまい
[3:47:02] konamin_: グラガス最高や
[3:47:10] 黒霧くろくま: 時計おじさんまできよった
[3:47:37] 黒霧くろくま: モルデ様になってる
[3:47:38] konamin_: モルデつよすぎんだろｗｗｗｗｗｗｗ
[3:47:42] hal_1ch: 最強で草
[3:47:46] calbee_7: mid、jg duoなのかな
[3:47:48] SoLA_tw: あ
[3:47:49] twokey84: 確信犯で草
[3:47:58] JAcK_of_JAcK: ちょっとくらい分けてもろてね
[3:47:59] ユッケリオン: 1キルくらいばれませんて
[3:48:23] konamin_: 相手のTP使ったって思えばまぁ
[3:48:41] konamin_: タンクきてるし全然ワース
[3:48:46] pirosue_: スモはギブで
[3:49:11] konamin_: モルデが戦ってるところはよりたいね
[3:49:12] showwhatman: スモのスタック溜まってるかどうかが
[3:49:13] ユッケリオン: フロハとか結構刺さりそうだけどな
[3:49:32] konamin_: Qあげだからしゃーない
[3:49:57] pirosue_: さっきからCSにE使うの見てるね
[3:50:14] calbee_7: これ阻害つみましょう
[3:50:16] まんぼう隊長: 重症積まないとやばいよ
[3:50:53] pirosue_: 他に積む人バードくらいしかいないね
[3:50:57] konamin_: かえってると思うよ
[3:51:04] pirosue_: アイスボーンは相当舐められてるなｗｗｗ
[3:51:17] SoLA_tw: ザック、アイスボーンですか…
[3:51:18] konamin_: なんかアシストはいったｗ
[3:51:28] konamin_: モルデつよすぎるｗｗｗｗ
[3:51:33] 黒霧くろくま: ヨネ君おかしくなっちゃった
[3:51:44] calbee_7: アイスボーンってあいつなにと戦うつもりなんだ
[3:51:50] showwhatman: キルも経験値も拾えてるモルデが買ってくれると助かるんだけど、次点で育ってるグラガスおじさんが買ったっていい
[3:52:02] 黒霧くろくま: グラブ量やっば
[3:52:11] pirosue_: 育ってるのAPだけなのにアイスボーンってなんなんだよｗｗ
[3:52:49] konamin_: モルデたのむううう
[3:53:01] fallngwater1935: fallngwater1935 subscribed at Tier 1. They've subscribed for 3 months! 
[3:53:02] showwhatman: まだあります
[3:53:06] SoLA_tw: あ
[3:53:09] calbee_7: やっぱ回復阻害まじで必要だ
[3:53:24] konamin_: オーブナイス
[3:53:26] SoLA_tw: ジリアンの蘇生だるかったな
[3:53:28] タチャンカ先生: 学びの戦い
[3:53:41] flylymon: ジリアン誰も見えてなかったの笑う
[3:53:48] showwhatman: あとはモルデが居る時にしっかり当たってどうなるかだけど、いけそうではある
[3:53:49] まんぼう隊長: ソロは重症買わない人多すぎる
[3:53:51] konamin_: あと20秒
[3:54:16] konamin_: これきたらかてるｗ
[3:54:28] konamin_: あ
[3:54:41] SoLA_tw: 狼の回復やばいw
[3:54:47] showwhatman: モルデのシールドも出ぇへんかった
[3:54:57] torottoro00: グラガスダイエットした？
[3:54:58] konamin_: いろんなミスが積み重なったｗ
[3:55:24] moji0726: ザックにE使えばいける
[3:55:24] konamin_: zacがAPだからだるい
[3:55:38] 黒霧くろくま: でも火力も足りないのよな
[3:55:39] gumpaste1: グラガスは時計かな詰むとしても
[3:56:09] pirosue_: ソンメを重傷アイテムと思わない方が良い
[3:56:15] erism_520: すもやんスタックどんなもんや
[3:56:16] calbee_7: ドラゴン遅延してスモルダー待ちでもいい気がする
[3:56:22] jakkoteki: おいす 花粉ガンクきついよな
[3:56:32] konamin_: ソンメはラムスで楽しくなるためのアイテムだよ
[3:56:47] konamin_: 一旦ね
[3:56:52] calbee_7: ソーンメイルはaaくらわないと発動しないからザックには効果ないのがね
[3:57:09] sh1nking: おはようおぼさん
[3:57:20] 黒霧くろくま: 2v1だったね
[3:57:24] konamin_: 賞味期限切れではある
[3:57:47] konamin_: すもやんがんばってくれ
[3:57:56] 黒霧くろくま: スタック死ぬ気で溜めてもらうしかないか
[3:57:57] tak1on_: スモルダーのスタック次第
[3:58:03] showwhatman: スペクターカウルとかいう対AP最高コスパアイテムが悪い
[3:58:26] konamin_: ｗｗｗｗｗｗｗｗｗｗｗｗｗ
[3:58:33] jakkoteki: しゃるる杯ですもやん無双してたしポテンシャルはあるはずや！
[3:58:37] jakkoteki: あ
[3:58:47] gakkn3: ぺちぺち
[3:58:50] 黒霧くろくま: ザックのパッシブとジリアンの復活でマジでだるい
[3:58:55] calbee_7: あれは乗り手が偉大さんや
[3:58:57] まっくそお: ｗ
[3:58:57] しがない一般男性: ってね
[3:58:58] 元子: それはそう
[3:58:58] konamin_: っていわれちゃうからね
[3:58:58] pirosue_: 未来はあるけどかなり終わってる
[3:58:59] m4shu_ttv: 正論
[3:59:04] torottoro00: 俺は言ってないけどね
[3:59:04] ユッケリオン: いわれちゃうもんね
[3:59:12] plutor: 決して言ってはいないよ？
[3:59:15] SoLA_tw: 俺は言わないけどみんな言ってた
[3:59:15] レイムゥ: 言われちゃう
[3:59:15] acpdata: 俺は思ってないもん
[3:59:19] sh1nking: スモルダーで降参入れるやなアホが って言われちゃうからね
[3:59:22] pirosue_: 腹話術やめろ
[3:59:22] しがない一般男性: 世間一般でそういわれちゃうからね
[3:59:23] konamin_: おっぼはいってないからね
[3:59:24] ユッケリオン: 誰も思ってないけどね
[3:59:27] marvolo6: レイトキャリーピックしてすぐ降参はまじそう
[3:59:30] jakkoteki: なんや…偉大さんが偉大だっただけやったんか…
[3:59:35] 黒霧くろくま: 野良のbotスモは正味きつそう
[3:59:36] calbee_7: 正論だけどこのやり方せこいなwww
[3:59:53] まっくそお: っておぼが言ってた
[4:00:03] pirosue_: って言われちゃうまじでズルいｗｗｗ
[4:00:05] haro1499: w
[4:00:05] 黒霧くろくま: ｗｗｗ
[4:00:08] つけ麺丸: まじで4ドラ取られても勝てるからなすモルダー
[4:00:10] saratoga828: っておぼがいってました！
[4:00:12] gumpaste1: 降参するわりに勝ちそうになると引き伸ばしたりするからね無限スケール勢
[4:00:14] haro1499: 要介護
[4:00:16] まっちゃらぁ: 勝手にピックして勝手に負けて勝手にサレンダーするのまじで何っておぼが言ってたね
[4:00:16] konamin_: まぁsoloQだとまじでスモルダー弱いよ
[4:00:24] あきじょ: 序盤を支えるピックじゃないといけないのか
[4:00:27] pirosue_: そんなキャラソロQでやるのは甘えではある
[4:00:32] calbee_7: グラガスが思ったより序盤弱かったですね
[4:00:40] サムソン高橋: マザーさんとduoしませんか？
[4:00:47] gumpaste1: まぁ相手ザックだからね
[4:00:52] pirosue_: ザックグラガスなんて何も起きんよ
[4:00:54] ユッケリオン: 対面が悪かった
[4:00:55] konamin_: 相手zacなのもキモかった
[4:01:04] showwhatman: midヨネ、抜刀します
[4:01:11] konamin_: midなのにtopしてたよねｗ
[4:01:15] 黒霧くろくま: midザックキモくはある
[4:01:19] pirosue_: お互いサステインでレーンなぁなぁで終わりよ
[4:01:19] erism_520: レーンのザックの使い手たち上手いんだよな
[4:01:21] まっくそお: まさかのMIDでSUMOH
[4:01:35] konamin_: パリィして
[4:01:35] ユッケリオン: 電撃持つようなチャンプつぶす奴がちょうど来ちゃった
[4:01:38] gakkn3: スモルダーってだいたい弱いまま終わってる
[4:02:01] pirosue_: 順調じゃないと30分とかだからね
[4:02:03] あきじょ: プロでも25分でスタックたまるか貯まらないかなんだもの
[4:02:06] gumpaste1: というか高レートじゃないとスタックが
[4:02:06] calbee_7: プロシーンでも罠ピックになってきてない？
[4:02:07] konamin_: スタックの溜まり方が人によってまちまちなのがむずい
[4:02:11] sh1nking: ソロQだと20分後半にならんとスタック貯まらんかも
[4:02:17] ユッケリオン: スモルダー中盤の勝率めためたへこんでるらしい
[4:02:31] 黒霧くろくま: 勝ってる時の気持ちよさでみんな離れられなくなってそう
[4:02:37] konamin_: てかsoloQでスモルダーやるなよまじでってずっと思ってる
[4:02:39] acpdata: カルマがいないなら
[4:02:46] erism_520: 確変
[4:02:47] marvolo6: 内部高杉わろ
[4:02:48] 黒霧くろくま: うおおお
[4:02:51] pirosue_: 内部がそこじゃないって言ってるよ
[4:02:53] domo789123: 確変状態
[4:02:55] sh1nking: 内部めっちゃ良くなってるやん！！！
[4:02:55] calbee_7: これプラチナいきますか
[4:02:56] あきじょ: オボの適正レートもっと上か…
[4:02:57] konamin_: 内部たかすぎだろｗ
[4:02:59] biwajp: プラチナ行くぞおおおお
[4:02:59] ユッケリオン: メイジ相手に彗星でちまちまQ当てても楽しいで
[4:03:06] pirosue_: 今ゴル何？
[4:03:09] acpdata: ブロ泣いてるよ
[4:03:19] tak1on_: 今ならプラチナも狙える
[4:03:21] sh1nking: マザーさんは泣いています
[4:03:22] konamin_: ダイアだけど負けて20LPの狩って23～6ぐらいだぞｗ
[4:03:23] calbee_7: マザーさんが泣いちゃうよ
[4:03:24] pirosue_: じゃあゴル2適正くらいやね
[4:03:26] ニボシ: 何かワイもこのパッチで負けて20勝って32とかになった
[4:03:52] ニボシ: ±25とは何だったのかと思いながらウキウキでランク回してた
[4:03:55] まっちゃらぁ: スモルダーならタンクサポが一番安定はするけどsoloQだと合わせてくれないことの方が多い
[4:04:14] たいやきうま: なぜかね
[4:04:18] あきじょ: なんでやろなぁ
[4:04:18] hal_1ch: すな、いぷ
[4:04:19] pirosue_: おぼinQ！！
[4:04:24] sh1nking: 何でやろなぁ
[4:04:25] domo789123: あ
[4:04:25] つけ麺丸: す、な
[4:04:26] plutor: ｗ
[4:04:30] konamin_: 朝礼始まるからがんばれおっぼ
[4:04:30] waracat333: ふしぎだなぁ
[4:04:30] rikakei: 狙われてる？
[4:04:32] jakkoteki: 妙だな…
[4:04:35] calbee_7: 大人気配信者が配信してるのでね
[4:04:40] reolemon: INQしてるか聞いてるやつもいたしな
[4:04:41] tak1on_: ふーども回し始めた
[4:04:43] pirosue_: Gじゃなきゃ別にね
[4:04:48] hal_1ch: ｵﾎﾞｻﾝ、INQ！！！perfect！！
[4:04:49] ニボシ: スタンミなんて配信外の方が変まで行ってたからね
[4:04:50] binding114514: ひもQで鞭打ちシバキ合いすると死ぬほど痛いけどやったことある？
[4:04:52] tuari_lol: トロールしないならスナイプ歓迎って RaccAttack も言ってた
[4:04:57] 黒霧くろくま: マッチ長いと負けた時の喪失感がキツイ
[4:05:01] marvolo6: ふーどさんもやってるやんけ
[4:05:05] pirosue_: スナイプ鯖の長はふーどだったか
[4:05:11] あきじょ: CRカップが開催される大人気ゲームなんでね
[4:05:14] ニボシ: ブロンズとかちゃうかね
[4:05:25] marvolo6: さすがの大人気ゲーム化
[4:05:34] jakkoteki: 食え…？
[4:05:35] konamin_: 格ゲーマーみんなLoLの闇時代やってた気がするけどほぼブロンズだったはずよ
[4:05:40] jakkoteki: なんだ組めないか
[4:05:41] dkfanboy3: ブースティングって言われちゃうし
[4:05:42] reolemon: もうちょっと早く聞いてればな〜w
[4:05:45] ニボシ: 逆にメンツ探してフルパノマの方が面白そう
[4:05:53] twokey84: LUL
[4:05:55] 黒霧くろくま: ｗｗｗ
[4:05:56] サムソン高橋: 各ゲーマー大体ソロレーン行ってるイメージあるわｗ
[4:05:59] muichimon: LUL
[4:06:02] 犬ころ: かーっブロンズか～ｗ
[4:06:03] n4shvill3: ふーどサポメインだっけか
[4:06:04] saratoga828: www
[4:06:06] pirosue_: hu-do
[4:06:10] ユッケリオン: サポやってたよ
[4:06:10] pirosue_: ふーどはサポだよ
[4:06:12] acpdata: てかマゴさんのlcqのvlogでリビングのでっかいテレビでLCK見てたけどふーどさんだろつけたの
[4:06:16] ニボシ: sakoさん無限にフィオラ擦ってたのマジでおもろい
[4:06:18] pirosue_: ノーチラカンメインだね
[4:06:21] calbee_7: エメラルドいかないともうduoする相手少なそう
[4:06:27] SoLA_tw: 格ゲーマーってTOPじゃないんだ
[4:06:33] あきじょ: サポメインまじ
