[0:00:18] 祖国のために: ハイサイまいど
[2:58:01] dio10111: なぜか人がいなくなったのでプレート取ります
[2:58:02] mercury07w: これシンジドって言った人MVPじゃないか
[2:58:06] punchkichikiooooo: 彼はLOLと戦っている
[2:58:07] マクガフィン: そしてしわ寄せがボットに
[2:58:10] MilanAxi: チョコパイモン BibleThump
[2:58:10] luna_1123_: この不条理な世界と戦ってる
[2:58:11] ふじたにこらない: パイモンがんばえー
[2:58:19] kurou_crunn: ｗ
[2:58:20] dio10111: ｗｗｗｗｗｗ
[2:58:21] ナスくん: 怒って草
[2:58:21] tanakataro139: ないす！
[2:58:22] sh1roBH: w
[2:58:22] chorus_0508: ｗｗｗ
[2:58:22] チョコ0225: ｗｗｗ
[2:58:23] fullmagic26: HungryPaimon HungryPaimon HungryPaimon HungryPaimon
[2:58:23] ノディー: 怒りの
[2:58:23] elshadd0llshekh1naga: 成敗
[2:58:23] メルト2501: パイモン、キレた
[2:58:24] sonic0023755390: げきおこ
[2:58:24] ピーナッツ君です: うおおおおおおおおおおおお
[2:58:24] gggajettto110: うおお
[2:58:25] ktrbm: カウンターではある
[2:58:25] hellominen: 怒りのフラッシュ
[2:58:25] bird_0713: 成敗
[2:58:25] fluoritecaf2: HungryPaimon HungryPaimon
[2:58:26] Viatris: ちょこぱいもん！！！
[2:58:27] momiji878: よっしゃあああああ
[2:58:27] 月城月: 怒りのフラッシュ
[2:58:28] teya1337: 怒ってます
[2:58:28] moto_chang: 急にキレたな
[2:58:28] eill4: 成敗
[2:58:30] fizzzsupport: ナイス👍
[2:58:30] rena_toi: wwww
[2:58:30] チョコ0225: 怒りのフラッシュＲ
[2:58:30] prospro1234: 正義は勝つ
[2:58:30] skuyin: 魂こもってた
[2:58:31] tridentatus: 脳天かち割られたｗ
[2:58:33] mnbvcxzAAA: 悪は滅びた
[2:58:33] maisonligera: yutaponNo
[2:58:34] luna_1123_: 激おこプンプン丸ダンク成功
[2:58:34] 俺が君を守るから: HungryPaimon  HungryPaimon
[2:58:36] sh1roBH: パイモンガチオコです
[2:58:38] ALBAS000: ほんまそうｗ
[2:58:39] fullmagic26: パイモンがんばれ！！！！！！
[2:58:39] llssnn66: ハッピーバレンタイン
[2:58:39] NAMAcorn: 痛覚共有LOL
[2:58:39] ｾﾀﾒﾝ: 成敗！
[2:58:39] untiburyunhirude: おこんなっつw
[2:58:41] taluhika: 悪即斬
[2:58:42] mitenaiyo3: 怒りの鉄槌
[2:58:42] デボン海洋博物館: ダリウスが正義側の事あるんだ
[2:58:42] elshadd0llshekh1naga: 心なしか嬉しそう
[2:58:42] ゴマキ: すかっとJAPAN
[2:58:42] nyaru12: やっと1v1できたね
[2:58:43] sushiboy345: 味戻ったから
[2:58:43] PlooonN: マジレスダンク
[2:58:43] yuichi0v0: lolってキャラの使い方に生き方が出るらしいって聞きました
[2:58:47] prospro1234: 誰が悪なんだよ
[2:58:47] torippy_13: 怒りのチョコパイモン
[2:58:51] ナスくん: ダリウス君打ちこわしとか持ってきたんだ・・・
[2:58:58] はぴめあ: いつもよりＲボタンに力はいってたよきっと
[2:58:59] lil1li: めっちゃ感情のこもったRだった
[2:59:00] dam_broke: ティアマット買わされてるのがもう末期
[2:59:08] shopon8: これ別にサイオンでもいいのでは
[2:59:09] Viatris: ；；；；；
[2:59:19] ktrbm: ダリウスの賞金を回復させたんだよね
[2:59:20] momiji878: 負けるなチョコパイモン！
[2:59:21] hellominen: 正義はどこに
[2:59:23] tridentatus: あびねー
[2:59:31] チョコ0225: ｗｗ
[2:59:31] メルト2501: w
[2:59:32] fizzzsupport: BibleThump BibleThump BibleThump
[2:59:36] ALO_555: レーン勝てると思ってウキウキで打ちこわし持ってきたのかな
[2:59:41] ktrbm: こんな危ないとこやめてボット行こ
[2:59:43] ナスくん: ゴースト持ってますよ報告だね
[2:59:49] sh1roBH: 6もじゃのダメージすごいね
[2:59:56] kakinotane1111: もじゃつえだ
[2:59:56] teya1337: でもちょっとチームまずくなってきてるよ
[3:00:00] tanakataro139: 実はね
[3:00:00] Viatris: 実はね
[3:00:05] hellominen: JGが滅茶苦茶強いだけかも
[3:00:07] ノディー: 楽しいのジャングルとトップだけ
[3:00:11] ALBAS000: グレイブス君がキルめっちゃ集めてるから頑張ってもらおう
[3:00:17] fullmagic26: HungryPaimon HungryPaimon HungryPaimon
[3:00:20] すくいーず: じゃぁこれ誰が得してるんですか？
[3:00:24] fibo_n: 集団戦つよいからセーフ
[3:00:24] ktrbm: チームはフロントを欲している
[3:00:24] メルト2501: グブが強い
[3:00:31] はぴめあ: グブ君ガキャリーしてくれる
[3:00:32] fizzzsupport: でもそのキャラここからのが楽しいから
[3:00:42] shopon8: 精神的有利は確保してる
[3:00:44] dio10111: エアリー飛ぶの笑う
[3:01:00] sh1roBH: 実はまだタワープレート残ってる時間
[3:01:01] moto_chang: 仮面できたらやばそう
[3:01:04] NAMAcorn: ここからがマグマなんです
[3:01:15] ALO_555: あ
[3:01:16] ナスくん: このゲームカサディンとダリウス以外会った？
[3:01:16] ノディー: シンジドってクリセプの後APいくのとタンク行くのどっちが強いんですか？
[3:01:18] fibo_n: ここからがマグマなんです
[3:01:24] チョコ0225: ｗ
[3:01:25] fizzzsupport: ファームには気をつけろ
[3:01:30] bird_0713: 断食
[3:01:31] ユニこん: すいませんシンジドのリコールモーションって何やってるんですか
[3:01:31] ももかん__: ｗ
[3:01:32] ルーティン: あ…
[3:01:34] Shijimi0013: 引退しちゃう
[3:01:37] sh1roBH: グレイブスくんには言っておかないと
[3:01:44] tamura1234: rage quitあるぞ
[3:01:55] ゴマキ: カサカサ
[3:02:02] tridentatus: はえ～ｗ
[3:02:04] Viatris: チョコパイモン仲間いたんだ・・
[3:02:17] ナスくん: 陣取りゲームしてる
[3:02:18] チョコ0225: ｗｗ
[3:02:19] mnbvcxzAAA: あ
[3:02:19] kurou_crunn: ｗ
[3:02:20] PlooonN: ｗ
[3:02:21] tridentatus: ｗｗｗ
[3:02:23] チョコ0225: あｗ
[3:02:23] teya1337: まずい
[3:02:24] Viatris: ｗｗｗ
[3:02:24] belljp_lol: ww
[3:02:26] ヒマリ: ｗｗｗｗ
[3:02:28] taluhika: アハ大剣
[3:02:29] tofukojiki: チョコパイモンは頑張ってるのに
[3:02:30] ナスくん: 警告してくれてる
[3:02:30] prospro1234: 安全確認
[3:02:32] nyaru12: まさかね
[3:02:34] elshadd0llshekh1naga: 泉まで下がっちゃう
[3:02:43] fizzzsupport: おや？
[3:02:47] mele_7393: こっちがラインあげてるからテコの原理だよ
[3:02:48] mnbvcxzAAA: あーあ
[3:02:50] punchkichikiooooo: さっきはこれで泉まで行ったってワケ
[3:02:51] dio10111: 何やってんだあいつｗ
[3:02:51] hellominen: あら？
[3:02:51] shopon8: 間違い探しなんだよね
[3:02:52] Viatris: あれれ？
[3:02:55] チョコ0225: トロールｗ？
[3:02:56] tamura1234: やばい
[3:02:56] MilanAxi: 草
[3:02:59] うに脳筋: アハ体験
[3:03:01] moria213: 今のは警告だ。次は抜ける
[3:03:03] elshadd0llshekh1naga: MFｗ
[3:03:13] dio10111: せんざわさん気づいたｗ
[3:03:15] teya1337: もしかしてもう終わった？
[3:03:17] ezakura: あのmidウェーブグレイブス君が食べたらどうなっちゃうんだろう
[3:03:18] momiji878: 弁慶だ
[3:03:20] don_rudolf: 断食？
[3:03:21] nosamushiro: lolやめて寝ればいいのに
[3:03:22] llssnn66: Mia撃つたびにちょっとずつ前に進むの草
[3:03:22] turuturu_ow: これは何が起こっていますか
[3:03:23] ノディー: そりゃね、ボットネグレクトされたらあんな位置にもなりますよ
[3:03:24] mnbvcxzAAA: そろそろフラッシュするかも
[3:03:24] maisonligera: あれこれ
[3:03:26] tamura1234: 怒りゲージ8割といったところか
[3:03:30] Viatris: まずい
[3:03:33] tanakataro139: あ
[3:03:35] shopon8: ここは通さないという強い意思表示
[3:03:38] elshadd0llshekh1naga: ｗ
[3:03:38] hellominen: これにはsenzawaも怒りを隠せない
[3:03:38] チョコ0225: １５分ＧＧか？ｗ
[3:03:38] NAMAcorn: これにはグレイブスもご立腹
[3:03:40] nyaru12: 戦績みたらこのMF10連敗中だった
[3:03:41] moria213: ！！
[3:03:42] Viatris: そうだよ！！
[3:03:42] belljp_lol: ｗ
[3:03:42] ナスくん: 煽りですよ
[3:03:43] チョコ0225: ｗｗ
[3:03:43] sh1roBH: ！！
[3:03:44] tridentatus: 熱いな…
[3:03:46] sannosan: ふふ
[3:03:46] 月城月: ポジティブチャット
[3:03:48] kurou_crunn: we can win!
[3:03:48] dio10111: ネグレクトされてやめるんだったらbotはできない
[3:03:48] taluhika: ｗ
[3:03:49] nosamushiro: サ
[3:03:50] sh1roBH: サ
[3:03:50] ゴマキ: サ
[3:03:51] skuyin: いい言葉だ・・・
[3:03:51] 抜け目ないカメ: サ
[3:03:51] maisonligera: サ
[3:03:51] conpacuto: サ
[3:03:51] aezaser: サ
[3:03:51] ねる3: サ
[3:03:52] shaiant: がんばろうよ！！
[3:03:52] ユニこん: ポジティブシンジド
[3:03:52] mc_ilhenny: これはハッピーフレンドですわ
[3:03:52] sheik822: サ
[3:03:53] ふう_: ｗ
[3:03:53] gengendayo: サ
[3:03:54] チョコ0225: サ
[3:03:54] gggajettto110: サ
[3:03:54] fibo_n: ”仲間”
[3:03:54] shaiant: みんなでサ
[3:03:55] chabudaisanta: サ
[3:03:55] kightfanb: サ
[3:03:55] mitenaiyo3: サは煽り
[3:03:55] ALO_555: サw
[3:03:56] hellominen: シンジドが言うなって感じだ
[3:03:57] gao___h: www
[3:04:00] 脳天かち割り太郎: 光のシンジド
[3:04:01] maruppe49: おじさんサ
[3:04:01] belljp_lol: もっと下がったｗ
[3:04:03] Viatris: チョコパイモンを食べると人は元気になるらしい
[3:04:05] noy35: きれいなシンジド
[3:04:06] tamura1234: メンタルマスターだｗ
[3:04:09] shaiant: みんなでサ（レンダーしよう）
[3:04:11] turuturu_ow: 性格の良いシンジドおもろ
[3:04:12] ゴマキ: 全然爽やかじゃない
[3:04:19] tridentatus: これ死んだら士気下がるな
[3:04:21] mercury07w: ゆたんぽさんからadうばっておいてまったく
[3:04:24] ktrbm: 次デッドマンかジャックショーです
[3:04:33] チョコ0225: ダメだぁ；；
[3:04:34] gengendayo: いるね
[3:04:34] sushiboy345: 毒撒いて待ってるのおもろw
[3:04:36] rena_toi: チョコパイモンのメンタル見習ってくれw
[3:04:36] amd_0723: MFもう故障してない？
[3:04:37] sannma_pie: 更に下がってた
[3:04:38] ナスくん: 無言やめてください
[3:04:38] okonomisauce: このMF有名なの？
[3:04:45] Viatris: はわ～～～
[3:04:47] dio10111: ｗｗｗｗ
[3:04:47] MilanAxi: 意志固い
[3:04:49] NAMAcorn: MFじゃなくてDFだよこれじゃ
[3:04:51] nyaru12: ティルトマスターつれえ
[3:04:54] nutskey: メダロットやってる
[3:04:54] teya1337: これ買ってるの？
[3:04:54] maisonligera: ウィントレではないのか
[3:04:57] dentyushin: シャトルランしてる
[3:04:58] mitenaiyo3: 出来の悪いAI
[3:04:59] ceofesta: AIのほうがマシ
[3:05:00] moria213: ホームポジションにかえった
[3:05:02] tanakataro139: 高レートでもこういう人いるんだねえ
[3:05:05] hiiro111: こういうのbanされんの？
[3:05:06] fizzzsupport: さっきの別にファーム食われたからじゃなかったんだな
[3:05:08] あきあっきー: AFKケアしてるｗ
[3:05:17] elshadd0llshekh1naga: 強くね？
[3:05:19] moria213: 毒はいつもそこにある
[3:05:21] taluhika: 何で勝てる？
[3:05:29] hellominen: MFがMIDのセカンド守ってくれてるよ！
[3:05:29] sh1roBH: パイモンも遊びたいって
[3:05:31] ゴマキ: あれがチョコパイモンの仲間か
[3:05:31] torippy_13: なんか勝ってるのおもろち
[3:05:38] PlooonN: パイモンの心が揺らいでる
[3:05:38] uifahlaulihtgf: パリは燃えているかみたいに言わないでもらっていいすか
[3:05:49] 月城月: あのMFチョコパイモンが送り込んだスパイです
[3:05:51] ゴマキ: 月は出ているか
[3:05:52] paracoccichan: 次は出ているか
[3:05:53] ナスくん: マップ見るの縛ったらああいうプレイになりそう
[3:06:00] shopon8: あいつまで到達したら負け、つまりゴールキーパーってワケ
[3:06:11] loekkdfe21: MFあんなことしてお咎めないの？
[3:06:26] paracoccichan: 俺以外にガンダムX思いついてるやついた
[3:06:27] dio10111: レーン真ん中待機タイプのトロールか
[3:06:27] 弐号機㌠: おじゃ 珍しいキャラ使ってますね
[3:06:27] conpacuto: ハァ！ヘェン！
[3:06:28] ezakura: チョコパイモンよりかは可哀そうな目にあってないはずなのに
[3:06:29] dam_broke: ダニのおかげでそれなりに折るの早いの笑う
[3:06:30] ktrbm: ウィントレかな
[3:06:32] torippy_13: チームみんなで通報すればお咎めありそう
[3:06:34] ナスくん: いやでも逆に死なないから偉いまであるね
[3:06:43] nyaru12: 日本鯖2位様；；
[3:06:45] Viatris: あのちっちゃいのダニなんだ
[3:06:45] spmomoko: MFめっちゃお腹痛いだけかもしれない
[3:06:49] hellominen: デッドマンのほうがQOL高くないですか？
[3:06:53] 俺が君を守るから: はァ～ッ…
[3:06:53] 炭酸水散水: Riotは“更生”を信じてるのでBANはしません！
[3:06:57] maisonligera: ついに泉から出てきてない
[3:06:58] tridentatus: みっぽさん…
[3:06:59] ALBAS000: 泉に帰ってないか?
[3:07:00] ktrbm: じゃリフトメーカー行くか
[3:07:00] nonobivu: あれリコールした
[3:07:01] fibo_n: 不動明王になった
[3:07:04] ノディー: MF動かなくなった？
[3:07:05] ALO_555: 動かなくなっちゃった
[3:07:07] belljp_lol: 泉で動かなくなった
[3:07:09] don_rudolf: このトロールに文句言うと文句いったほうがBANされます
[3:07:15] sh1roBH: とうとう動かなくなっちゃった
[3:07:19] nyaru12: ゴールラインおわちゃった
[3:07:19] paracoccichan: 古のデッドマンシンジド
[3:07:24] teya1337: 上級LOL民なの？
[3:07:24] Viatris: そんなぁ BibleThump
[3:07:25] ktrbm: 高レートとは何なのか
[3:07:27] tag_tag14: adcが見れる配信と聞いて来たのですが
[3:07:28] noy35: おネムの時間だ
[3:07:30] fluoritecaf2: ビルド考えてた
[3:07:32] マクガフィン: マウスの充電切れちゃったか
[3:07:40] tridentatus: ねじまき式なんやろなぁ
[3:07:50] gengendayo: おし
[3:07:52] maruppe49: ｗｗｗｗ
[3:07:54] elshadd0llshekh1naga: ｗ
[3:07:54] noy35: ｗ
[3:07:55] leviel86: ｗ
[3:07:55] sheik822: ｗｗｗｗｗｗｗｗ
[3:07:55] メルト2501: wwww
[3:07:56] lan1zu: wwwww
[3:07:56] legitfroggy: ｗ
[3:07:57] nyaru12: ワース
[3:07:57] ezakura: w
[3:07:57] Viatris: 助けてもらえそうだったｗ
[3:07:57] kurou_crunn: oc
[3:07:58] arerubi: ｗ
[3:07:58] チョコ0225: うぇい！
[3:07:58] taluhika: ｗ
[3:07:59] sh1roBH: おしい
[3:07:59] dio10111: エアリーで勝ったぞ！
[3:08:00] tridentatus: ｗ
[3:08:02] dam_broke: この世の全てが飛んできた
[3:08:03] rena_toi: www
[3:08:03] ナスくん: 相手を気まずくできたのに
[3:08:04] suggoi_tamatama: www
[3:08:04] moria213: 救助
[3:08:11] torippy_13: ww
[3:08:12] ナスくん: チョコパイモン；；
[3:08:12] sh1roBH: パイモン；；
[3:08:13] Viatris: チョコパイモンをいぢめるなー！
[3:08:16] サメといぬ: 素晴らしいマルザウルト
[3:08:16] st_ryker: 一方その頃
[3:08:17] daredare33: 味方の敵のバード
[3:08:18] lil1li: ダリウスさん・・・
[3:08:21] ノディー: ダリウスとMFトップに放置させとけばいいんじゃね
[3:08:22] NAMAcorn: 一方MFは夜空を見上げていた
[3:08:22] dio10111: ｗｗｗｗｗｗｗｗ
[3:08:22] tamura1234: チョコパイモン😭
[3:08:23] ktrbm: まあパイモン試合に勝てて良かったよ
[3:08:23] haneuma1125: おいらは非常食
[3:08:23] mitenaiyo3: パイモン見てると泣けてくる；；
[3:08:24] チョコ0225: パイモン；；
[3:08:24] kurou_crunn: ひたすらにリンチくらってるパイモン
[3:08:25] nyaru12: midタワー守ってるだけマシ
[3:08:25] shopon8: ダリウスくんかわいそうだよ
[3:08:30] hellominen: チョコパイモンは真面目にゲームしてるのにこのMFときたらさあ！
[3:08:30] torippy_13: お
[3:08:32] llssnn66: なんでチョコパイモンはシンジドから開放されたはずなのにまだいじめられてるの？
[3:08:32] moria213: MIDにはキーパーがいる
[3:08:36] ゴマキ: あ！MFくんも笑ってるよ！
[3:08:36] gengendayo: ゲーム勝っても気分悪いチョコパイモン
[3:08:38] nosamushiro: もしかしてあれAIじゃないか？
[3:08:38] dosukebehutanari: このMF、動くぞ！
[3:08:39] hellominen: ｗ
[3:08:40] チョコ0225: ｗ
[3:08:40] ktrbm: プライドファイト
[3:08:41] gggajettto110: AFKしたいのはチョコパイだろ
[3:08:42] ユニこん: MFAI
[3:08:42] torippy_13: いやまだAIかもしれん
[3:08:43] demekin364: 仲いいね
[3:08:44] ナスくん: 相手だけR持ってますよ
[3:08:47] maruppe49: きまづｗ
[3:08:53] tridentatus: 毒出さないといる意味ない
[3:08:55] チョコ0225: ディン痛い
[3:08:56] spmomoko: MFとグータッチしたくないか？
[3:08:57] ktrbm: ウィントレ相手パイモンだろ
[3:09:01] llssnn66: ネガトローンあるのにこんないたいんだ
[3:09:06] Audrey_hpbn: カサディンが16なったら終わりくさいな
[3:09:10] daredare33: loaとセラフのバフでつよいらしい
[3:09:19] sonic0023755390: Eして帰ったｗ
[3:09:19] fizzzsupport: 調査中だけどウィントレじゃあないっぽいしなんなんだろう
[3:09:32] nonobivu: リコールしたw
[3:09:32] ノディー: 不動のリコール
[3:09:33] NAMAcorn: 定時退社
[3:09:33] teya1337: なんか帰っていった
[3:09:34] don_rudolf: 余裕のリコールで草
[3:09:37] mitenaiyo3: 忙しいｗ
[3:09:40] ナスくん: MFのRいつ使ってるんだろ
[3:09:44] demekin364: ﾜｯ･･･
[3:09:48] torippy_13: わっ
[3:09:49] shopon8: キーパー死ぬとこだった危ない
[3:09:56] sonic0023755390: メンヘラＭＦ
[3:09:56] daredare33: こっちは精一杯足使って歩いてんのにずるい
[3:09:57] moto222216: スナイプトロールとか？
[3:10:08] ナスくん: あつかった
[3:10:11] ktrbm: スナイプ対象はストーリーマーか
[3:10:13] torippy_13: うちにはもう一本MFというタワーがあるから
[3:10:17] ゴマキ: 将棋でいうところの王将
[3:10:26] shopon8: タワーは笑う
[3:10:29] tridentatus: みっぽ10Lvおもしろいな
[3:10:38] ヒマリ: シンジドだって16になるから対等になったりしませんかね
[3:10:43] ナスくん: フィードしてる？
[3:10:47] Viatris: ｗｗｗ
[3:10:55] dam_broke: チートの項目にウイントレードってある
[3:10:59] ナスくん: 断食してるだけだね
[3:11:03] Shijimi0013: 正確な通報に感謝
[3:11:09] mobunozee: さっさと電話番号登録必須とかにしてほしい
[3:11:15] kouupu: 最近日本鯖ほんとにやばいです
[3:11:22] MilanAxi: mf10時間ずっとやって一回しか勝ってない..壊れちゃったんだ
[3:11:30] ktrbm: ｉｎゲーム中は名前を秘匿させてほしい
[3:11:33] gengendayo: ちょこちょこ動いてるのやばいな
[3:11:34] tanakataro139: 10時間えぐ
[3:11:36] ALBAS000: 逆にね
[3:11:37] torippy_13: ww
[3:11:37] マグナです: ｗ
[3:11:39] nonobivu: www
[3:11:42] メルト2501: MFから仕掛けた説が出てきたな
[3:11:43] ヒマリ: ｗｗｗ
[3:11:43] kinm0kusei: botじゃないの？
[3:11:43] イグナイトいしかわ: ｗｗｗｗｗ
[3:11:46] fizzzsupport: そういうカラクリだったんだ
[3:11:49] Viatris: 怖い
[3:11:49] j1z6: これで1回勝ってるのがすごい
[3:11:49] tridentatus: なんで10時間もやれんの
[3:11:49] rena_toi: どっちなんだww
[3:11:49] かべぴー: タリアは悪くなかったんだ！
[3:11:51] 森阿亭: いっかいかてたのか
[3:11:51] kttk1130: 前者やろなあ
[3:11:53] nyaru12: 勝てるゲームなのに捨ててるようにしか見えない
[3:11:54] nosamushiro: 因果関係がね
[3:11:58] tetu1011: 卵が先か鶏が先か的な？
[3:11:59] Malygos0210: 心配だし家行ってみるか
[3:12:01] PlooonN: シュレディンガーのトロール
[3:12:01] akinosinko: どちらにしろ壊れちゃってる
[3:12:02] ktrbm: ダリウスに勝てる時間なんてあるんだ
[3:12:02] マグナです: 卵か、鶏か
[3:12:08] ALO_555: チョコパイモン；；
[3:12:09] kurou_crunn: パイモン；；
[3:12:09] maruppe49: ゴリラよわ
[3:12:10] gengendayo: パイモン；；
[3:12:12] taluhika: Rすらうてず
[3:12:12] hiiro111: その1回味方がハイパーキャリーしただけじゃない？
[3:12:16] Viatris: チョコパイモンのごはん・・
[3:12:17] sh1roBH: パイモン；；
[3:12:27] メルト2501: ウルトないよ
[3:12:30] ナスくん: マップ見づらいです
[3:12:30] ノディー: ダリウスとっとと自然の力積めばいいのに
[3:12:34] axisayu: HungryPaimon
[3:12:34] fibo_n: ウルトがあればワンチャン…
[3:12:35] tridentatus: 降参ウィンドウが
[3:12:41] チョコ0225: ww
[3:12:42] conpacuto: けどMF君は拗ねてるし…
[3:12:45] dio10111: このトロールの仕方ってすぐBANされそうだけどな
[3:12:58] fizzzsupport: 一つ前の試合は27キルもしてるのになんでなんだ
[3:12:59] shopon8: ガンジー的なデモなんじゃないか？？
[3:13:01] 俺が君を守るから: この人さっき引いて20LP落としました
[3:13:04] メルト2501: BANされてないからここにいるんだよね
[3:13:05] tanakataro139: されないんだな、それが
[3:13:08] tridentatus: ｗｗ
[3:13:10] akatuki00tukuyo: ちゃんとバンしろよriot
[3:13:12] Viatris: 非暴力不服従
[3:13:19] mc_ilhenny: 日記添えないと
[3:13:21] sanshouo: 青食ってるのきもすぎる
[3:13:24] ceofesta: もちろんレポートされてるけど10時間BANされてないってことなんだ
[3:13:29] hellominen: グブ一瞬でカサに殺されそう
[3:13:39] dam_broke: 日本サーバーなんてよっぽどのチャットしないと何してもセーフなんだからこんなくらいじゃバンされん
[3:13:42] kouupu: 普通のレポートは無力で定評があり
[3:13:43] ナスくん: 普通のゲームならこのチャンプ面白そうだな
[3:13:51] don_rudolf: こういうのとりあげてUGに圧がかかるぐらいだからな、BANされてませんよ
[3:13:57] ウラガンキン希少種: 10時間もこんなことして楽しいのか？
[3:14:00] nyaru12: サポートに動画送り付けるのが一番効果的かなこれ
[3:14:01] sh1roBH: 最近はレポートしたらBANされるよ
[3:14:02] 炭酸水散水: つまりこの行為はban対象じゃないということや
[3:14:02] ノディー: ダリウス14レベやん
[3:14:04] dio10111: リフトメーカー積まない派か
[3:14:04] chorus_0508: チョコパイモンLv14 BibleThump
[3:14:05] ktrbm: ちょっと強いくらいじゃ4v5勝てないんだよね
[3:14:11] hiiro111: デスしない動くたまにcs取る
[3:14:11] fizzzsupport: せっかく面白い試合になりそうだったのに
[3:14:15] axisayu: HungryPaimon
[3:14:21] nyaru12: リコールしてるし
[3:14:29] ykabi: w
[3:14:30] korokoroman: 地震
[3:14:31] メルト2501: パートナーがRioterに直通でやるレポートはBANされるらしいね
[3:14:32] fluoritecaf2: 戦闘が始まったのでリコールした
[3:14:32] ゴマキ: tada
[3:14:33] メルト2501: wwwwwww
[3:14:33] moria213: つっよ
[3:14:34] sh1roBH: ｗ
[3:14:34] gengendayo: うおおおおおお
[3:14:35] メルト2501: 走ってるだけ
[3:14:35] こんぷ: ｗ
[3:14:35] ゴマキ: ただ走ってるだけ
[3:14:37] むうううううううう: うますぎわろた
[3:14:37] PlooonN: 地震
[3:14:38] fox_attack_fox: 走ってるおじさん
[3:14:39] tridentatus: ういいいい
[3:14:39] conpacuto: なんかダメージないと思ったｗ
[3:14:40] fizzzsupport: つよw
[3:14:40] elshadd0llshekh1naga: ブッシュの使い方うますぎ
[3:14:43] Siranui77: 釘付けつえーw
[3:14:43] Viatris: 走るだけで破壊してすまん・・
[3:14:45] ナスくん: 毒出してませんよ
[3:14:49] メルト2501: シンジドがやばいって、ただ走ってるだけだが？
[3:14:51] nonobivu: botいるやん
[3:14:51] don_rudolf: 流石に無理か
[3:14:56] mnbvcxzAAA: 常に出しとけばいいですよ
[3:15:02] kouupu: ウィンゲートより一生懸命走るおじさんの方が強い
[3:15:03] taluhika: ｗ
[3:15:04] チョコ0225: www
[3:15:05] ALO_555: www
[3:15:05] dio10111: ｗｗｗｗｗｗｗｗｗｗ
[3:15:05] kurou_crunn: ｗｗｗ
[3:15:05] Viatris: ；；；
[3:15:07] メルト2501: wwwww
[3:15:09] sh1roBH: パイモン；；
[3:15:10] belljp_lol: www
[3:15:10] torippy_13: wwww
[3:15:11] gao___h: BibleThump BibleThump
[3:15:11] tridentatus: チョコパイうめ～
[3:15:12] tetu1011: BibleThump
[3:15:15] dio10111: チョコパイモンをいじめるな！
[3:15:23] takashixharuka: MFがなぐった
[3:15:23] zanqqqqq: トスしたらRうってくれるｗ
[3:15:35] axisayu: HungryPaimon
[3:15:47] amd_0723: MFの口元にご飯を運べば殴ってくれる
[3:15:48] kurou_crunn: なんだかんだこの試合ありそうだな
[3:15:55] nyaru12: 赤ちゃんかよ
[3:15:59] マグナです: OWの爆弾転がすキャラみたいに死んだらボロンてなるのおもろいな
[3:16:02] ナスくん: マルザビルド出てなくても強いな
[3:16:07] torippy_13: せんざわさん頑張ってる
[3:16:14] リヴェンはいいぞ: w
[3:16:15] Viatris: えらい！！
[3:16:17] ktrbm: ポジティブ思考
[3:16:17] チョコ0225: ナイスウ！
[3:16:22] sh1roBH: ナイスゥ！
[3:16:23] ゴマキ: やればできる！
[3:16:24] moria213: ナイスセーブ
[3:16:24] memeka: ファーム？
[3:16:27] torippy_13: えらいでちゅねー
[3:16:30] イグナイトいしかわ: うっま
[3:16:31] nyaru12: やればできる子
[3:16:31] kouupu: aaできてえらい！
[3:16:31] おかかお: アリーナのお邪魔キャラみたいな動きしてる
[3:16:34] ぺむぺむ: ｗ
[3:16:35] shopon8: パイモンとガンジーMFを同列に扱うのはひどすぎる
[3:16:51] lil1li: 褒めて伸ばす
[3:17:02] ナスくん: 無敵やん
[3:17:15] tridentatus: かなしい…
[3:17:17] ナスくん: 紙やん
[3:17:19] dio10111: gg
[3:17:22] sh1roBH: パイモンキレた
[3:17:23] ノディー: GGかな？
[3:17:25] hellominen: ｇｇ
[3:17:27] elshadd0llshekh1naga: パイモン大爆発
[3:17:28] ktrbm: まあこれゲームじゃないし
[3:17:29] Shijimi0013: あきらめを感じる入り
[3:17:31] teya1337: 終わっちゃった
[3:17:31] チョコ0225: MFいたら勝ってたなｗ
[3:17:32] Milkatal: 神ゲー
[3:17:33] tamura1234: チョコパイモンで終わるならええか
[3:17:34] Viatris: ううううう
[3:17:38] shopon8: パイモンどした？話聞こか
[3:17:38] tag_tag14: 正義は勝つ
[3:17:41] 月城月: 負けたってことはこれシンジド勧めたリスナー粛清？
[3:17:41] kouupu: パイモン怒りの大爆発
[3:17:45] メルト2501: AI戦でたまに見る動きしてる
[3:17:54] fizzzsupport: 正義ってなんだろう
[3:17:56] チョコ0225: フィザ；；
[3:17:57] ゴマキ: チョコパイモンに笑ってほしいから
[3:18:01] ぽしり: ；；
[3:18:03] untiburyunhirude: フィザ BibleThump
[3:18:06] takashixharuka: フィザ・・
[3:18:06] nyaru12: みんなこんなにも勝とうとしてるのに・・・
[3:18:08] torippy_13: チョコパイモンの勝ち！
[3:18:12] ナスくん: シンジドじゃなかったら 勝ってた 誠にごめんなさい
[3:18:17] mobunozee: riot見てるか？
[3:18:18] shopon8: はい正義の勝ち
[3:18:23] mele_7393: 正義は勝つ
[3:18:24] onikuji: あ
[3:18:24] Viatris: えらい
[3:18:27] maruppe49: えらい！
[3:18:27] ykabi: 偉い!!
